"","Status","AGE","GENDER","CENTER_C","DOSAGE_DPPIV_C","Status","AGE","GENDER","CENTER_C","DOSAGE_DPPIV_C","Status","AGE","GENDER","CENTER_C","DOSAGE_DPPIV_C","Status","AGE","GENDER","CENTER_C","DOSAGE_DPPIV_C"
"adenosine.5..monophosphate..AMP.","0.000442318377829872","0.00022069291447148","0.000558256393816319","5.97094023769134e-05","0.00123932991102135","0.000827897984434671","0.000616214578061312","0.00181232996748504","0.000126405084283107","0.00509627481592719","-0.152787300247877","-0.134321411576934","Inf","Inf","-0.117560902065851","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"X5.methylthioadenosine..MTA.","1.70953917054824e-27","2.32981385339852e-09","0.00172792974482582","1.4200606761759e-16","5.61544343840594e-07","2.49445661767092e-26","1.84886397605953e-08","0.00492605181455597","1.32898092246255e-15","5.95324745774754e-06","0.472450970789666","0.215603520837906","Inf","Inf","0.181264732276063","OK_sd","OK_sd","C: Status","OK_sd","C: Status"
"N6.methyladenosine","0.536512488216138","0.00101727477904943","0.752919471442188","0.00261245307232173","0.507950670518843","0.58951210243668","0.00249825739091866","0.814762139351713","0.00428669748384593","0.642165531276264","0.026874712756259","0.119586046220187","Inf","Inf","-0.0241785172742342","NS","OK_sd","NS","OK_sd","NS"
"arachidonate..20.4n6.","0.705143171336427","0.941735446014158","0.754687747104301","0.0281420625550652","0.643508553424067","0.744653138913254","0.955822737652366","0.816024918582101","0.0374033093900328","0.748920331900908","-0.0164623625938958","-0.00266971100213177","Inf","Inf","0.0169034509435588","NS","NS","NS","OK_nc","NS"
"arginine","6.82673150205854e-14","0.00445373743701692","4.61133513867919e-05","0.00697535822138194","5.43558774178824e-08","3.57678557849167e-13","0.00951767197170387","0.000193733182142033","0.0106474253165526","8.47826731678924e-07","-0.325773957069775","-0.103606694129502","Inf","Inf","-0.19663503991556","OK_sd","C: Status, GENDER, DOSAGE_DPPIV_C","OK_sd","C: Status, DOSAGE_DPPIV_C","OK_sd"
"ascorbate..Vitamin.C.","0.0199450914567842","0.277344852639867","0.70339464442789","8.89042859104399e-12","0.5846707579514","0.0290090987211749","0.353718952098026","0.774133440785601","4.69428466850066e-11","0.70838195027878","-0.0943515637360899","0.0396637953212183","Inf","Inf","0.0199627609228397","C: CENTER_C","NS","NS","OK_sd","NS"
"aspartate","1.35883068305783e-05","0.951804809789848","0.397311380977624","0.0288038190452669","0.00601673422572653","3.07835264926457e-05","0.961148320350581","0.50672137592729","0.0380962791856015","0.0188561393633046","0.189192854505865","0.0022077078068541","Inf","Inf","0.100082858537675","OK_sd","NS","NS","C: Status","C: Status"
"X2.hydroxyphenylacetate","0.018070633233917","0.00677905002321332","2.83282938821957e-09","0.234042372855254","0.205035528878269","0.026510107349649","0.0137470569594216","2.43300599988225e-08","0.259261632624147","0.326181960947023","0.10266938904669","0.098655808369481","Inf","Inf","0.0462671674597129","C: AGE, GENDER","C: GENDER","OK_sd","NS","NS"
"X3..4.hydroxyphenyl.lactate","8.43945090687523e-07","0.0246564692450181","2.22106865577077e-18","0.377594254837465","0.323088519522917","2.17311857317451e-06","0.0439669234763333","4.94096748505071e-17","0.405697073487284","0.456699084367289","0.214176467485892","0.0819287977899934","Inf","Inf","0.0360817167017326","OK_sd","C: GENDER","OK_sd","NS","NS"
"phenylpyruvate","2.08420755945066e-06","0.931924700093627","8.18427871348308e-10","1.35711590664698e-05","0.719547654882361","5.09598136608026e-06","0.947851894524263","7.55514708448744e-09","3.14267284184291e-05","0.806963774938318","0.206355903471034","0.00312025801967296","Inf","Inf","-0.0131149489210014","OK_sd","NS","OK_sd","OK_sd","NS"
"beta.alanine","3.65965570772934e-08","0.112542452714769","1.67164421094333e-05","0.334808943226699","8.7403219796142e-05","1.09628097028448e-07","0.16546057240947","7.95937261140388e-05","0.362598352720376","0.00050470710324836","0.239468985210244","0.0579149018115784","Inf","Inf","0.142567874487904","OK_sd","NS","OK_sd","NS","C: Status"
"biliverdin","0.000388830784687607","0.0957671105762541","0.000400343111297332","3.16699705640465e-05","0.0434224073948448","0.000732838020584837","0.143543734165904","0.00134139654822341","6.92884675051719e-05","0.0965970603849253","-0.154279084135104","0.0607878805407951","Inf","Inf","-0.073670561281958","C: CENTER_C","NS","OK_sd","OK_sd","C: Status, CENTER_C"
"succinate","0.0586383410267214","0.00165846760092498","0.914017258090408","0.290511986685212","0.983092433950556","0.0787064577381413","0.00388024230078483","0.938926131134506","0.318179794940946","0.98856848108334","-0.0822364703489116","0.114514746836878","Inf","Inf","-0.000774083134864437","OK_sd","OK_sd","NS","NS","NS"
"X3.hydroxybutyrate..BHBA.","0.498796889450695","7.81587565490627e-05","0.287605564783751","6.8524752954712e-05","0.0745128356649084","0.554354937743319","0.00023834029806085","0.395021003452986","0.000143944411392483","0.148478587367519","-0.0294212933314246","0.143533138450603","Inf","Inf","0.0650750917066473","NS","OK_sd","NS","OK_sd","NS"
"cholesterol","4.88558935907583e-08","0.177070938143959","9.84722287375317e-09","0.00116119031601676","0.00396985937187168","1.44754252407553e-07","0.240285263061352","7.72409331773587e-08","0.00202276669940274","0.0137777472317899","-0.237246377903516","0.0492752538910563","Inf","Inf","-0.104927193990406","OK_sd","NS","OK_sd","OK_sd","C: Status"
"choline.phosphate","2.87533916112501e-07","6.59963752812215e-05","0.00334482051171214","0.205346145587255","0.0843884015717629","7.85077513409786e-07","0.000204468222047072","0.00888242942151346","0.229913134952067","0.162894823517613","-0.223157307857482","-0.144982105318724","Inf","Inf","-0.0629747221132469","OK_sd","OK_sd","OK_sd","NS","NS"
"corticosterone","3.51926183847118e-21","0.0480935061339774","0.335547005642823","8.26482783844899e-11","1.057269407352e-07","3.10106384078272e-20","0.0788199128306852","0.448921226204857","3.96302875504427e-10","1.42488020549473e-06","-0.406902890896351","0.0721031554643896","Inf","Inf","-0.192382457605427","OK_sd","C: CENTER_C, DOSAGE_DPPIV_C","NS","OK_sd","C: Status"
"cortisone","0.165525301016581","0.0429927484615417","0.0473943944342917","5.02322629255865e-06","0.016051996083607","0.20456997584654","0.0719373115441579","0.0865601524190227","1.23264341392443e-05","0.0425440599325286","-0.0603117677639063","-0.0738217647477771","Inf","Inf","-0.0877774157731261","NS","OK_sd","OK_sd","OK_sd","OK_sd"
"creatinine","0.0607988071254526","0.185854517661283","5.09020824303623e-36","0.770142597495195","0.667067991991316","0.0813648730465869","0.249954985595996","5.31339429676936e-34","0.788147439518084","0.766478632626771","-0.081543318239695","0.0482949335377202","Inf","Inf","0.0157120547204818","OK_sd","NS","OK_sd","NS","NS"
"cysteinylglycine","0.0883245888601772","0.0237562275400884","0.00469609672865813","0.015179407609433","0.470895852831333","0.115246602964673","0.0425854699760897","0.0120237797373379","0.0216143296180489","0.606842993629742","0.0741220701138426","-0.0824487073571637","Inf","Inf","0.0263322190642967","NS","C: CENTER_C","OK_sd","OK_sd","NS"
"cystine","0.000281125463720099","2.54379055886393e-10","0.00410312318855696","2.21048171834272e-05","0.252837226437448","0.000544204357015941","2.31672737475057e-09","0.0105854337773228","4.99105439565903e-05","0.377958244864487","0.157955804018775","0.227959613084802","Inf","Inf","0.0417498813015224","OK_sd","OK_sd","OK_sd","OK_sd","NS"
"sphingosine","0.0283537145057153","0.212633577004735","0.0910920467127689","2.69040148442722e-16","0.0183358746031338","0.0402468520755812","0.282056465293671","0.150930289852537","2.38619268912924e-15","0.0473037677499098","0.0953460863275746","0.0455020926129115","Inf","Inf","0.0859989598877185","AD","NS","NS","OK_sd","C: CENTER_C"
"deoxycholate","2.74476392810725e-23","0.159076346742802","0.000314675920712446","4.52696224727802e-08","1.7938835289282e-09","2.84324019117674e-22","0.219153911197952","0.00109491083181228","1.49104072076609e-07","3.80359366993057e-08","0.431600201918223","0.051402775387037","Inf","Inf","0.217100503239919","OK_sd","NS","OK_sd","C: Status","OK_sd"
"cystathionine","1.3468299048501e-12","3.7751648876816e-09","2.60376970432383e-05","0.0207504858682349","0.000691286988457032","6.30223510648824e-12","2.86195461038209e-08","0.000118966851473651","0.0286745512456159","0.00306560929194834","0.308249263525884","0.212810549583602","Inf","Inf","0.123462115337839","OK_sd","OK_sd","OK_sd","C: AGE","C: Status"
"sphinganine","0.110407699338293","0.0720561846881829","0.439427981126485","3.7731308508979e-20","0.0483425663068968","0.141609875238245","0.11124032152658","0.546566242336058","5.12013856466845e-19","0.105129587305223","0.0694282248525168","0.065632580510618","Inf","Inf","0.072023232477892","NS","NS","NS","OK_nc","NS"
"fumarate","0.884700066921182","2.095766221636e-05","0.0105481544301382","3.07121076276008e-06","0.0429726223243263","0.896592972973894","7.12770617233096e-05","0.0243019449264813","7.81919888380005e-06","0.0960917669325558","0.00631371160351701","0.154468201416695","Inf","Inf","0.0738288786364279","NS","OK_sd","OK_sd","OK_sd","C: AGE, GENDER, CENTER_C"
"gamma.glutamylglutamate","2.9333893126991e-16","7.56515578689218e-05","3.66151829846744e-08","0.000122580124169334","0.000767013221032597","1.8259675675838e-15","0.000231736261914508","2.70036974511974e-07","0.000248270490295203","0.00335753851916527","0.355556894979921","0.143813513365564","Inf","Inf","0.122430057804866","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"gluconate","9.79651646702464e-25","2.5657923929363e-09","0.028921527294459","8.72927998537632e-07","4.70187688471463e-05","1.18695293265647e-23","2.00653624863075e-08","0.0571273836078324","2.42738379921223e-06","0.000304435688755758","0.446540643576665","0.215048260184073","Inf","Inf","0.147846190679788","OK_sd","OK_sd","OK_sd","C: Status","C: Status"
"glutarate..C5.DC.","4.52905957671964e-09","0.0576482708243708","2.54310446309367e-05","0.00489670195627131","2.65420568835466e-09","1.4917315159244e-08","0.0918177271228535","0.000116587593122234","0.00768187809787303","5.37575689417504e-08","0.254997099309108","0.0692582497918172","Inf","Inf","0.214852927204571","OK_sd","C: Status, GENDER, DOSAGE_DPPIV_C","OK_sd","C: Status","OK_sd"
"glycine","1.58809018403321e-30","0.652091441316493","0.000169446632869236","2.36236124364117e-09","0.000407211376126918","2.87338450631075e-29","0.720495360780943","0.000633440993949183","9.23839829285612e-09","0.00190966831468201","-0.499408560428549","-0.0164674013931591","Inf","Inf","-0.128599767455462","OK_sd","NS","OK_sd","C: Status","C: Status"
"glycocholate","5.93609558822546e-05","0.33944114957185","0.000324257961069166","0.160175663102269","0.000868609924587056","0.000125471677776043","0.421428764838975","0.00112249503359913","0.184358248371313","0.00373007489767289","0.174621591688202","0.0348825400362881","Inf","Inf","0.121184642975771","OK_sd","NS","OK_sd","NS","C: Status"
"guanidinoacetate","7.22645547110189e-22","0.862747792281583","3.23884563080236e-15","1.03664424746656e-06","2.76990644676488e-07","6.67095243148658e-21","0.900575964712391","5.42606607530716e-14","2.83614162058897e-06","3.32633898076101e-06","-0.417933050547364","-0.00631463189018257","Inf","Inf","-0.18605164585605","OK_sd","NS","OK_sd","C: Status","C: Status"
"histidine","1.05706480197077e-05","0.0600284884029366","0.534342302082499","0.533011480112028","0.976845615063461","2.43951859910601e-05","0.0950105929342729","0.637733072933994","0.559827073151719","0.98336758133614","-0.191573681315784","-0.0686111610535865","Inf","Inf","0.00106015207749939","OK_sd","C: Status","NS","NS","NS"
"cortisol","0.00097714675807159","3.49390241887466e-08","0.362589676071671","0.0901812384876822","0.235979774234787","0.00174014193005662","2.21811962387141e-07","0.474021378062869","0.109459696447035","0.361835653826674","-0.143384541201112","0.199408815122424","Inf","Inf","-0.0432677152235705","OK_sd","OK_sd","NS","NS","NS"
"hypotaurine","2.02220961046124e-07","0.316192971969096","0.00105762544874297","0.00229471090461312","0.708073067157533","5.60028253346103e-07","0.395095638086614","0.0031893282976538","0.00378822712598541","0.797390167745039","-0.226020327439029","-0.0365991915497453","Inf","Inf","0.0136767267558507","OK_sd","NS","OK_sd","OK_sd","NS"
"inosine","0.000195366951053976","0.0567552331485703","0.614731550502087","6.32414411201957e-33","0.0358335414389568","0.000387026208146343","0.0908217587059079","0.69982442452293","2.14546589000264e-31","0.0835500270320693","0.161986634219111","-0.0695067564810326","Inf","Inf","0.0765507844996899","C: CENTER_C","C: CENTER_C","NS","OK_sd","C: Status, CENTER_C"
"myo.inositol","0.00354308671452284","1.06982828513323e-09","0.0918685571937246","0.293506951279721","0.577035562517183","0.00585623467918088","9.13054706242641e-09","0.151477074255023","0.320603544830753","0.703537518720411","-0.126824233200479","0.220029085278899","Inf","Inf","-0.0203697326914281","OK_sd","OK_sd","NS","NS","NS"
"isoleucine","2.54461687328847e-49","0.777059244758778","4.32328051803209e-29","8.45089807945246e-27","2.53397541520751e-10","1.8173921563434e-47","0.83029086231312","2.44445485957064e-27","1.84965624093823e-25","7.81501054190133e-09","0.64199446985165","-0.0103424708573278","Inf","Inf","0.227980562609466","OK_sd","NS","OK_sd","OK_sd","C: Status"
"X2.aminoadipate","4.46702398922378e-42","1.61037327422496e-06","1.53649876194514e-14","8.24464203864284e-08","8.46762402170483e-13","1.68381987593796e-40","7.07031745964152e-06","2.39658485052822e-13","2.62628620808412e-07","6.75915635144321e-11","0.591077926872453","0.173884571994827","Inf","Inf","0.256893567068317","OK_sd","OK_sd","OK_sd","C: Status","OK_sd"
"X3.sulfo.L.alanine","0.00230845862466239","0.0306975591284119","0.410223727560226","4.46669089030877e-13","0.0823021465764778","0.0039010938401829","0.0539593105404856","0.51783590539463","2.73031510727433e-12","0.159776842495394","-0.132505066791233","0.07881101635972","Inf","Inf","0.0634011603103857","OK_sd","C: CENTER_C","NS","OK_sd","NS"
"citrulline","4.14059785841617e-22","0.0416429889577926","0.456661446544218","0.00116081248776329","2.78602848615449e-11","3.90193839852135e-21","0.0697648592786723","0.563866772484535","0.00202276669940274","1.26021355190388e-09","-0.420419357026076","0.0743052080320365","Inf","Inf","-0.239625506126974","OK_sd","OK_sd","NS","C: Status","OK_sd"
"lactose","4.87490341168463e-48","7.81118350277267e-06","0.00239550329605139","2.4093662629293e-15","1.04054564765533e-09","2.75635163735669e-46","2.92004848850207e-05","0.00663407749539131","1.94613691594944e-14","2.43451800666945e-08","0.615986197231912","0.16220400555309","Inf","Inf","0.220185170248734","OK_sd","OK_sd","C: Status","OK_sd","C: Status"
"leucine","2.22961792353807e-45","0.292519310805774","1.68918711193834e-27","2.6797329525731e-23","1.37880661496187e-11","1.04330742146247e-43","0.369942874896025","8.81625734961667e-26","4.3290447817163e-22","6.68228777322592e-10","0.61480331808901","0.0384345266508404","Inf","Inf","0.24320987316421","OK_sd","NS","OK_sd","OK_sd","C: Status"
"leukotriene.B4","7.88444798026016e-07","0.278123939775659","0.634528094737293","4.83242980030628e-17","0.540129955856869","2.04573535549007e-06","0.354379517629642","0.715841448194223","4.71770304965153e-16","0.667343672327476","0.20188808607141","-0.039599588867509","Inf","Inf","0.0223742476994771","OK_sd","NS","NS","OK_sd","NS"
"lysine","0.185558007386047","0.000938517203673519","0.881894606464917","0.641316139887","0.24019456909026","0.227258317710168","0.00232651218964552","0.913535099979307","0.667381903241303","0.366580207661917","0.0575768306373232","0.120403784932194","Inf","Inf","-0.0428812619520165","NS","OK_nc","NS","NS","NS"
"malate","1.6987098399088e-05","1.83730480306616e-05","4.3326296193912e-05","0.00334253551954817","1.72079988807966e-05","3.82280141418946e-05","6.32797618721011e-05","0.000183730574797308","0.00538696045133833","0.000126222997195897","0.187053124081762","0.155521278564454","Inf","Inf","0.156042877009911","OK_sd","OK_sd","OK_sd","OK_sd","OK_sd"
"methionine","0.758838614562473","0.482656253110386","1.4846217875931e-11","0.0263454257375206","0.906031008345487","0.793942945228432","0.564937205146441","1.76722084716126e-10","0.0353617633291943","0.930722239458612","0.0133582466265341","-0.0256390879755411","Inf","Inf","-0.00431185676637176","NS","NS","OK_sd","OK_sd","NS"
"palmitate..16.0.","1.3341947956706e-10","3.88383470220675e-05","0.033396542242672","0.224081512758506","0.00135050877923423","5.14347255035512e-10","0.000126085255763028","0.0647415826047227","0.249244764601059","0.00545428694470489","0.279332765752258","0.149437846968511","Inf","Inf","0.116669949595153","OK_sd","OK_sd","OK_sd","NS","C: Status"
"nicotinamide","0.154754748002726","0.0408172639340094","0.0268149768355179","0.0152085225570547","0.662950736345268","0.192309700585805","0.0685507761862014","0.0535904618052986","0.02163308711732","0.764336575378529","0.0618864285337573","-0.074607523764166","Inf","Inf","0.0159190284993109","NS","C: CENTER_C","OK_sd","OK_sd","NS"
"stearate..18.0.","2.21925365729801e-05","1.64986373278281e-05","0.854984692218276","0.0324703625857278","7.70301954429658e-05","4.93692985730065e-05","5.83037782652674e-05","0.894536798257672","0.0426134255597995","0.000452510715221232","0.184461337934256","0.156377168918304","Inf","Inf","0.143658276774885","OK_sd","OK_sd","NS","C: DOSAGE_DPPIV_C","OK_sd"
"ornithine","0.709007549118542","0.0235012042902922","9.39751300364586e-06","0.139698186108483","0.444871302537587","0.748151822825709","0.042211120705509","4.74067849291726e-05","0.163001236929675","0.579357348890121","-0.0162363347321946","0.0825990872478295","Inf","Inf","-0.0279009545411928","NS","OK_sd","OK_sd","NS","NS"
"orotate","1.31583579685098e-07","0.00203716371443783","0.0457803547087445","0.000208481224276698","0.132987186439368","3.7512377653924e-07","0.00464610279074308","0.08452236916975","0.000405895296045164","0.232256900898613","-0.229471019460999","0.11232033127287","Inf","Inf","-0.0548378233730687","OK_sd","C: CENTER_C","AD","OK_sd","NS"
"palmitoleate..16.1n7.","0.855919967841366","0.00214899077137127","3.11881644096433e-15","2.96784073297784e-09","0.177096188106173","0.875930163167974","0.00488472441666803","5.35725811441595e-14","1.12182726313396e-08","0.291296396678881","-0.00790344089748135","0.111743927636843","Inf","Inf","-0.0492723846288922","NS","OK_sd","OK_sd","OK_sd","NS"
"phenylalanine","0.0094638664921535","0.858720318186953","0.0126017866755507","0.50472486635597","0.391578939963448","0.0146103149372609","0.89844523653022","0.027896614223038","0.532590702678889","0.524553426979664","0.112848177085295","0.00650186280378136","Inf","Inf","0.0312871274819128","OK_sd","NS","OK_sd","NS","NS"
"phosphate","0.425469138866338","0.240301879151863","7.38999415090483e-06","0.172971254994033","0.384109771692338","0.480334127655259","0.313849518776783","3.87190041033894e-05","0.198244926542992","0.516683722138931","0.0346651397228899","-0.0428714852846547","Inf","Inf","0.0317832111854653","NS","NS","OK_nc","NS","NS"
"phytanate","7.47381665266166e-10","0.109064247677642","0.406962155067407","2.07067557765294e-12","0.489353660138784","2.71175646996307e-09","0.161044814035429","0.515399171159266","1.185614666192e-11","0.625285232399557","-0.267699865136709","0.0584812668369137","Inf","Inf","-0.0252484556185349","OK_sd","NS","NS","OK_sd","NS"
"pristanate","2.63393550901352e-07","0.00223677140915262","0.710035756777772","6.49426717911224e-14","0.737024966086207","7.22070805198251e-07","0.00505883133703351","0.778915539165268","4.40636028102766e-13","0.818973859782685","-0.223842925704642","0.111310389700156","Inf","Inf","-0.0122651501967115","OK_sd","OK_sd","NS","OK_sd","NS"
"proline","1.09768076821699e-31","0.120823187310669","8.4888100257473e-15","3.21109009713769e-16","6.66960874967211e-07","2.25689818556129e-30","0.174608163131606","1.35521355352224e-13","2.81125758826829e-15","6.96204544100388e-06","0.509353786343397","0.0566198990774148","Inf","Inf","0.180080127111462","OK_sd","NS","OK_sd","OK_sd","C: Status"
"lactate","5.73982136809825e-25","0.44681467986824","0.00180793179385937","5.87505498211216e-36","3.43789202529494e-08","7.14581430872415e-24","0.532800984693499","0.00511117384222327","2.21456933631284e-34","5.62074635942799e-07","0.448778319407506","0.0277820537835703","Inf","Inf","0.199509496197885","OK_sd","NS","OK_sd","OK_sd","C: Status"
"pyridoxal","5.01022611720874e-10","0.0414989384349061","0.00692703787266985","1.73157505108447e-12","0.527507632770212","1.85255499756193e-09","0.0696094678073765","0.0170191467744148","1.00847525507366e-11","0.657325856445526","-0.270442336525349","0.0743575809725355","Inf","Inf","-0.0230752481180777","OK_sd","C: GENDER, CENTER_C","OK_sd","OK_sd","NS"
