"","Status","DOSAGE_DPPIV_C","Status","DOSAGE_DPPIV_C","Status","DOSAGE_DPPIV_C","Status","DOSAGE_DPPIV_C"
"N.formylmethionine","0.0230623214537557","0.0101309324238196","0.0330819981107257","0.0291264307184813","0.0988269153977714","0.093716147420998","AD","AD"
"S.adenosylhomocysteine..SAH.","1.15188177702721e-09","0.060854343966449","4.04949111768376e-09","0.126268111257601","0.264332049997363","0.068391605119863","OK_nc","NS"
"adenosine.5..monophosphate..AMP.","0.000442318377829872","0.00123932991102135","0.000827897984434671","0.00509627481592719","-0.152787300247877","-0.117560902065851","OK_sd","C: Status"
"X5.methylthioadenosine..MTA.","1.70953917054824e-27","5.61544343840594e-07","2.49445661767092e-26","5.95324745774754e-06","0.472450970789666","0.181264732276063","OK_sd","C: Status"
"N6.methyladenosine","0.536512488216138","0.507950670518843","0.58951210243668","0.642165531276264","0.026874712756259","-0.0241785172742342","NS","NS"
"arachidonate..20.4n6.","0.705143171336427","0.643508553424067","0.744653138913254","0.748920331900908","-0.0164623625938958","0.0169034509435588","NS","NS"
"arginine","6.82673150205854e-14","5.43558774178824e-08","3.57678557849167e-13","8.47826731678924e-07","-0.325773957069775","-0.19663503991556","OK_sd","OK_sd"
"ascorbate..Vitamin.C.","0.0199450914567842","0.5846707579514","0.0290090987211749","0.70838195027878","-0.0943515637360899","0.0199627609228397","OK_nc","NS"
"aspartate","1.35883068305783e-05","0.00601673422572653","3.07835264926457e-05","0.0188561393633046","0.189192854505865","0.100082858537675","OK_sd","C: Status"
"X2.hydroxyphenylacetate","0.018070633233917","0.205035528878269","0.026510107349649","0.326181960947023","0.10266938904669","0.0462671674597129","OK_nc","NS"
"X3..4.hydroxyphenyl.lactate","8.43945090687523e-07","0.323088519522917","2.17311857317451e-06","0.456699084367289","0.214176467485892","0.0360817167017326","OK_nc","NS"
"phenylpyruvate","2.08420755945066e-06","0.719547654882361","5.09598136608026e-06","0.806963774938318","0.206355903471034","-0.0131149489210014","OK_nc","NS"
"beta.alanine","3.65965570772934e-08","8.7403219796142e-05","1.09628097028448e-07","0.00050470710324836","0.239468985210244","0.142567874487904","OK_sd","C: Status"
"biliverdin","0.000388830784687607","0.0434224073948448","0.000732838020584837","0.0965970603849253","-0.154279084135104","-0.073670561281958","OK_sd","C: Status"
"succinate","0.0586383410267214","0.983092433950556","0.0787064577381413","0.98856848108334","-0.0822364703489116","-0.000774083134864437","OK_nc","NS"
"X3.hydroxybutyrate..BHBA.","0.498796889450695","0.0745128356649084","0.554354937743319","0.148478587367519","-0.0294212933314246","0.0650750917066473","NS","NS"
"cholesterol","4.88558935907583e-08","0.00396985937187168","1.44754252407553e-07","0.0137777472317899","-0.237246377903516","-0.104927193990406","OK_sd","C: Status"
"choline.phosphate","2.87533916112501e-07","0.0843884015717629","7.85077513409786e-07","0.162894823517613","-0.223157307857482","-0.0629747221132469","OK_nc","NS"
"corticosterone","3.51926183847118e-21","1.057269407352e-07","3.10106384078272e-20","1.42488020549473e-06","-0.406902890896351","-0.192382457605427","OK_sd","C: Status"
"cortisone","0.165525301016581","0.016051996083607","0.20456997584654","0.0425440599325286","-0.0603117677639063","-0.0877774157731261","NS","OK_nc"
"creatinine","0.0607988071254526","0.667067991991316","0.0813648730465869","0.766478632626771","-0.081543318239695","0.0157120547204818","OK_nc","NS"
"cysteinylglycine","0.0883245888601772","0.470895852831333","0.115246602964673","0.606842993629742","0.0741220701138426","0.0263322190642967","NS","NS"
"cystine","0.000281125463720099","0.252837226437448","0.000544204357015941","0.377958244864487","0.157955804018775","0.0417498813015224","OK_nc","NS"
"sphingosine","0.0283537145057153","0.0183358746031338","0.0402468520755812","0.0473037677499098","0.0953460863275746","0.0859989598877185","AD","AD"
"deoxycholate","2.74476392810725e-23","1.7938835289282e-09","2.84324019117674e-22","3.80359366993057e-08","0.431600201918223","0.217100503239919","OK_sd","OK_sd"
"cystathionine","1.3468299048501e-12","0.000691286988457032","6.30223510648824e-12","0.00306560929194834","0.308249263525884","0.123462115337839","OK_sd","C: Status"
"sphinganine","0.110407699338293","0.0483425663068968","0.141609875238245","0.105129587305223","0.0694282248525168","0.072023232477892","NS","NS"
"fumarate","0.884700066921182","0.0429726223243263","0.896592972973894","0.0960917669325558","0.00631371160351701","0.0738288786364279","NS","OK_nc"
"gamma.glutamylglutamate","2.9333893126991e-16","0.000767013221032597","1.8259675675838e-15","0.00335753851916527","0.355556894979921","0.122430057804866","OK_sd","C: Status"
"gluconate","9.79651646702464e-25","4.70187688471463e-05","1.18695293265647e-23","0.000304435688755758","0.446540643576665","0.147846190679788","OK_sd","C: Status"
"glutarate..C5.DC.","4.52905957671964e-09","2.65420568835466e-09","1.4917315159244e-08","5.37575689417504e-08","0.254997099309108","0.214852927204571","OK_sd","OK_sd"
"glycine","1.58809018403321e-30","0.000407211376126918","2.87338450631075e-29","0.00190966831468201","-0.499408560428549","-0.128599767455462","OK_sd","C: Status"
"glycocholate","5.93609558822546e-05","0.000868609924587056","0.000125471677776043","0.00373007489767289","0.174621591688202","0.121184642975771","OK_sd","C: Status"
"guanidinoacetate","7.22645547110189e-22","2.76990644676488e-07","6.67095243148658e-21","3.32633898076101e-06","-0.417933050547364","-0.18605164585605","OK_sd","C: Status"
"histidine","1.05706480197077e-05","0.976845615063461","2.43951859910601e-05","0.98336758133614","-0.191573681315784","0.00106015207749939","OK_nc","NS"
"cortisol","0.00097714675807159","0.235979774234787","0.00174014193005662","0.361835653826674","-0.143384541201112","-0.0432677152235705","OK_nc","NS"
"hypotaurine","2.02220961046124e-07","0.708073067157533","5.60028253346103e-07","0.797390167745039","-0.226020327439029","0.0136767267558507","OK_nc","NS"
"inosine","0.000195366951053976","0.0358335414389568","0.000387026208146343","0.0835500270320693","0.161986634219111","0.0765507844996899","OK_sd","C: Status"
"myo.inositol","0.00354308671452284","0.577035562517183","0.00585623467918088","0.703537518720411","-0.126824233200479","-0.0203697326914281","OK_nc","NS"
"isoleucine","2.54461687328847e-49","2.53397541520751e-10","1.8173921563434e-47","7.81501054190133e-09","0.64199446985165","0.227980562609466","OK_sd","C: Status"
"X2.aminoadipate","4.46702398922378e-42","8.46762402170483e-13","1.68381987593796e-40","6.75915635144321e-11","0.591077926872453","0.256893567068317","OK_sd","OK_sd"
"X3.sulfo.L.alanine","0.00230845862466239","0.0823021465764778","0.0039010938401829","0.159776842495394","-0.132505066791233","0.0634011603103857","OK_nc","NS"
"citrulline","4.14059785841617e-22","2.78602848615449e-11","3.90193839852135e-21","1.26021355190388e-09","-0.420419357026076","-0.239625506126974","OK_sd","OK_sd"
"lactose","4.87490341168463e-48","1.04054564765533e-09","2.75635163735669e-46","2.43451800666945e-08","0.615986197231912","0.220185170248734","OK_sd","C: Status"
"leucine","2.22961792353807e-45","1.37880661496187e-11","1.04330742146247e-43","6.68228777322592e-10","0.61480331808901","0.24320987316421","OK_sd","C: Status"
"leukotriene.B4","7.88444798026016e-07","0.540129955856869","2.04573535549007e-06","0.667343672327476","0.20188808607141","0.0223742476994771","OK_nc","NS"
"lysine","0.185558007386047","0.24019456909026","0.227258317710168","0.366580207661917","0.0575768306373232","-0.0428812619520165","NS","NS"
"malate","1.6987098399088e-05","1.72079988807966e-05","3.82280141418946e-05","0.000126222997195897","0.187053124081762","0.156042877009911","OK_sd","OK_sd"
"methionine","0.758838614562473","0.906031008345487","0.793942945228432","0.930722239458612","0.0133582466265341","-0.00431185676637176","NS","NS"
"palmitate..16.0.","1.3341947956706e-10","0.00135050877923423","5.14347255035512e-10","0.00545428694470489","0.279332765752258","0.116669949595153","OK_sd","C: Status"
"nicotinamide","0.154754748002726","0.662950736345268","0.192309700585805","0.764336575378529","0.0618864285337573","0.0159190284993109","NS","NS"
"stearate..18.0.","2.21925365729801e-05","7.70301954429658e-05","4.93692985730065e-05","0.000452510715221232","0.184461337934256","0.143658276774885","OK_sd","OK_sd"
"ornithine","0.709007549118542","0.444871302537587","0.748151822825709","0.579357348890121","-0.0162363347321946","-0.0279009545411928","NS","NS"
"orotate","1.31583579685098e-07","0.132987186439368","3.7512377653924e-07","0.232256900898613","-0.229471019460999","-0.0548378233730687","OK_nc","NS"
"palmitoleate..16.1n7.","0.855919967841366","0.177096188106173","0.875930163167974","0.291296396678881","-0.00790344089748135","-0.0492723846288922","NS","NS"
"phenylalanine","0.0094638664921535","0.391578939963448","0.0146103149372609","0.524553426979664","0.112848177085295","0.0312871274819128","OK_nc","NS"
"phosphate","0.425469138866338","0.384109771692338","0.480334127655259","0.516683722138931","0.0346651397228899","0.0317832111854653","NS","NS"
"phytanate","7.47381665266166e-10","0.489353660138784","2.71175646996307e-09","0.625285232399557","-0.267699865136709","-0.0252484556185349","OK_nc","NS"
"pristanate","2.63393550901352e-07","0.737024966086207","7.22070805198251e-07","0.818973859782685","-0.223842925704642","-0.0122651501967115","OK_nc","NS"
"proline","1.09768076821699e-31","6.66960874967211e-07","2.25689818556129e-30","6.96204544100388e-06","0.509353786343397","0.180080127111462","OK_sd","C: Status"
"lactate","5.73982136809825e-25","3.43789202529494e-08","7.14581430872415e-24","5.62074635942799e-07","0.448778319407506","0.199509496197885","OK_sd","C: Status"
"pyridoxal","5.01022611720874e-10","0.527507632770212","1.85255499756193e-09","0.657325856445526","-0.270442336525349","-0.0230752481180777","OK_nc","NS"
"retinol..Vitamin.A.","0.0117072732395346","0.00938240492951919","0.0179308914063753","0.0272632194632924","0.109631047187083","0.0946765230762441","AD","AD"
"serine","8.50953376896317e-08","0.281107095176841","2.47799084216374e-07","0.412391706113485","-0.232921711482969","-0.039354862648382","OK_nc","NS"
"serotonin","0.0118284684944325","0.877824620399059","0.018096089906364","0.912923210468024","-0.109472827683893","0.00561516087144049","OK_nc","NS"
"taurine","0.0015215070858315","0.761118996780035","0.00264026229600171","0.836984180413701","-0.137884529899719","-0.0111042953591545","OK_nc","NS"
"myristate..14.0.","0.0146827647427842","0.733501216230438","0.0218710337606566","0.817880978163274","0.10612008106866","0.0124359381389883","OK_nc","NS"
"urea","0.0115411712444649","0.221592094294198","0.0176964625748461","0.344444985059825","0.109849540786728","0.0446249258920262","OK_nc","NS"
"uridine","0.0442017013400537","0.62010903717783","0.0605264467391048","0.732365503438046","-0.0875104537886037","-0.0181048025026728","OK_nc","NS"
"X2..deoxyuridine","0.153452484811138","0.0415121174234914","0.191216732680178","0.0943583640597619","-0.0620823193472315","-0.0743527830636902","NS","OK_nc"
"trans.urocanate","2.90198412833876e-08","0.000159160504885204","8.84942126327123e-08","0.000860481295335544","-0.241239536793569","-0.137284186296098","OK_sd","C: Status"
"glutamate","1.59350756236751e-48","2.71551484175699e-10","9.82904437333048e-47","8.18878586725385e-09","0.636592403956994","0.227605299576787","OK_sd","C: Status"
"glutamine","4.60193369538236e-12","0.0242215021002257","2.0474832867652e-11","0.0600888086837409","-0.300820481137975","-0.0821779129541801","OK_sd","C: Status"
"threonine","0.019691573795801","0.119741378205573","0.0287327587536581","0.213520433935561","-0.101426235807334","-0.0567850546746182","OK_nc","NS"
"tryptophan","0.196792814503555","0.729156190623419","0.239719792891673","0.814840419827094","0.056137786584493","-0.0126469061053109","NS","NS"
"valine","1.07037730488041e-40","3.28197318645032e-07","3.54268781151882e-39","3.71955209920132e-06","0.580884070309734","0.184913981366168","OK_sd","C: Status"
"glucose","3.19113317563312e-84","5.76805977955329e-16","4.33036771933414e-81","7.82725712085382e-14","0.845622970458158","0.289308533160665","OK_sd","C: Status"
"alpha.ketobutyrate","3.14517237183059e-24","0.0466509122671487","3.58655370468413e-23","0.102270255164008","0.440000904111447","0.0725730327065159","OK_nc","NS"
"adenosine","8.32634104261876e-07","0.180329365690772","2.14806935262997e-06","0.294827649689612","0.204864119583807","0.048907468999718","OK_nc","NS"
"betaine","0.00167620758174452","0.0209022213199631","0.00289391054507292","0.0530174099648411","-0.136656445184476","-0.0842181897181366","OK_sd","C: Status"
"cysteine","6.00351991728407e-07","0.014520692689224","1.57577882548443e-06","0.0389418576665552","0.217054555591553","0.0890986963068689","OK_sd","C: Status"
"mannose","6.52633343918157e-68","1.10433742529162e-10","9.84026052996599e-66","3.99940135201688e-09","0.757261145057147","0.232434671612012","OK_sd","C: Status"
"dimethylglycine","5.2447550292888e-05","0.509365422891851","0.000111728925820171","0.642190764041458","0.175887347713728","0.0240979756238134","OK_nc","NS"
"alanine","4.83756071308714e-30","7.93231980791702e-07","8.30958213627753e-29","8.03295371592791e-06","0.495204442200909","0.178878351025949","OK_sd","C: Status"
"tyrosine","2.61135650446837e-13","0.611540439705072","1.32224282707596e-12","0.725402427167642","0.318028735675484","0.018549589074246","OK_nc","NS"
"pseudouridine","0.861362418281124","0.988893004992392","0.880126643726591","0.990759042289886","0.00760207041521316","0.000508492611956237","NS","NS"
"pyruvate","5.89585984624665e-45","5.43114762538917e-06","2.6668939371189e-43","4.36098658441012e-05","0.611819750314555","0.164963831329419","OK_sd","C: Status"
"uracil","0.212933605674574","0.591896570492142","0.257531999019962","0.710171216762013","-0.0541713441876935","0.0195798764304881","NS","NS"
"xylose","5.5471694497125e-05","0.00615336535524827","0.000117986033593415","0.0191516440070457","0.170975008852758","0.0998155649910354","OK_sd","C: Status"
"cytidine","0.2744294456439","0.375713872147513","0.323545402031948","0.508826072359457","0.0473679055504909","0.0323479334752388","NS","NS"
"arabinose","2.3042864871293e-07","0.00412808605560403","6.34263035098268e-07","0.0141103596409437","0.222049771335147","0.104480078253357","OK_sd","C: Status"
"cotinine","0.00372619288857373","0.579114450439946","0.00614391707143931","0.704440288551633","0.0921816962637594","0.0202586754235365","OK_nc","NS"
"caffeine","0.745815037776434","0.52119900215202","0.782466305416284","0.653062830951331","-0.0141041385701478","-0.0234287979924947","NS","NS"
"fructose","2.74665564137581e-22","4.43439173406998e-10","2.66229407524784e-21","1.22805501696591e-08","0.422242648443798","0.22492650315751","OK_sd","OK_sd"
"adenine","0.0428679983759109","0.802648844020636","0.0588188814925289","0.856284969603776","0.0880679891807997","-0.00912865790884137","OK_nc","NS"
"cytosine","0.592309934900329","0.0114890105978895","0.642497667194042","0.0323456169737262","0.0231979928725881","0.0921242611036931","NS","OK_nc"
"caprate..10.0.","3.56704783230179e-09","0.00202731999149462","1.18639311481214e-08","0.00779340857920169","-0.256714911058036","-0.112372447946966","OK_sd","C: Status"
"margarate..17.0.","5.3029586377247e-11","0.000161036901471418","2.14170085458108e-10","0.000864956379447724","0.285375243921734","0.137178976033247","OK_sd","C: Status"
"nonadecanoate..19.0.","0.403085009167226","0.0463402370449701","0.458112527169117","0.101918479205874","-0.0363678829477047","0.0726758184279693","NS","NS"
"arachidate..20.0.","3.17847782696268e-08","0.254373065100702","9.6062236329362e-08","0.379323350924893","-0.240546384684352","0.0416151497170713","OK_nc","NS"
"maltose","1.27595258536826e-12","0.00339219033840326","6.01204048036363e-12","0.0121444671415935","0.308588305318436","0.10670983956668","OK_sd","C: Status"
"asparagine","1.16584430046102e-18","0.253005171667617","8.74061168909176e-18","0.377958244864487","-0.383471335900005","-0.0417351206403515","OK_nc","NS"
"N.stearoyl.sphinganine..d18.0.18.0..","2.78149191032108e-34","1.65068478708523e-05","6.7322656373814e-33","0.000122403238036866","0.530856570253227","0.156373222041275","OK_sd","C: Status"
"dihydroorotate","0.0126002093204945","0.182322746806199","0.0189754808458204","0.29701316616568","0.108500907878578","0.0486848959193557","OK_nc","NS"
"caproate..6.0.","0.0298287247897773","0.0532231233206552","0.0421641453538831","0.114823177020873","0.0938995080126877","0.0705226570833627","OK_nc","NS"
"caprylate..8.0.","0.0293046938814791","0.963910181465352","0.0415532597671549","0.974684140274577","-0.0947810166733219","0.00165274801051922","OK_nc","NS"
"sucrose","0.00159781560780417","0.285352808154357","0.00276208379591116","0.416273899814319","0.130885200449042","0.0390095756675898","OK_nc","NS"
"pentadecanoate..15.0.","0.00678393787365439","0.218063208561037","0.0106919903537155","0.340128475881986","0.117737913160096","0.044967360751002","OK_nc","NS"
"trans.4.hydroxyproline","1.69173107806365e-07","0.738705972272665","4.78266473527576e-07","0.818973859782685","0.227459371491859","0.0121837701713923","OK_nc","NS"
"allantoin","3.87314581695521e-18","0.324106202177494","2.75175857256975e-17","0.457660891108074","0.377579542971664","0.036005956542708","OK_nc","NS"
"xanthine","5.52023984679976e-15","9.46900550233493e-06","3.05753692739073e-14","7.34253740952486e-05","0.339832890067582","0.160723690612485","OK_sd","C: Status"
"X5.oxoproline","3.24011226094618e-07","0.272005173592246","8.74121737197607e-07","0.401644200832075","-0.222177853790111","-0.0401071900285262","OK_nc","NS"
"picolinate","0.580597273922921","0.125656442214307","0.631306490956253","0.222315243917619","0.0240342959608821","-0.0558958145364873","NS","NS"
"sarcosine","0.651005001195718","0.032351103365517","0.697219023333009","0.0774258329224101","-0.0196794924921078","-0.0780501847214873","NS","OK_nc"
"pantothenate","0.000270373053172711","0.0136766563400949","0.00052488731495761","0.0373425003088708","0.158392791218064","0.0898803219773866","OK_sd","C: Status"
"pipecolate","0.341872474160577","0.60249875409632","0.395162646878963","0.717184920446234","0.0413404959051286","0.019021931305241","NS","NS"
"phosphoethanolamine","0.0144405971920467","0.132170142680528","0.0215576351920874","0.232023722996356","-0.104432406367958","-0.0549534704177583","OK_nc","NS"
"glycerate","4.52787229410965e-16","0.195885342387349","2.76771292932739e-15","0.314948352629896","-0.35327401357674","-0.0472163546249343","OK_nc","NS"
"X3.ureidopropionate","0.0384810670855567","0.123221817883513","0.0532275091174628","0.21857778675546","-0.090011828791429","0.0562577864254705","OK_nc","NS"
"X5.KETE","0.731134747565258","0.245320571621965","0.769705083356133","0.37030035115796","0.0135240003917816","-0.0424176335649275","NS","NS"
"N.acetylleucine","6.98055006181875e-40","0.000247009809561929","2.20293172881117e-38","0.00125540191601325","0.574781318043804","0.133286133070372","OK_sd","C: Status"
"N.acetylmethionine","0.255438028782669","0.284876316716959","0.302997731694128","0.416121810317452","-0.0494624304022542","-0.0390481531407836","NS","NS"
"N.acetylvaline","1.75200055445641e-10","0.0616089318291538","6.58577493738879e-10","0.127056718073194","0.27752454285865","0.0681931394495583","OK_nc","NS"
"erucate..22.1n9.","1.96063336223042e-05","0.385702046118678","4.3759530798465e-05","0.51770294419688","-0.185666819863328","0.0316769670895149","OK_nc","NS"
"bilirubin..Z.Z.","7.4938554930621e-18","0.0352861809018321","5.13594035559862e-17","0.0827000820099933","-0.374302138976998","-0.0767779851345606","OK_sd","C: Status"
"thyroxine","2.9015865128198e-09","1.89647098975843e-06","9.83985053978518e-09","1.73885887371769e-05","0.25819162642115","0.172710988675708","OK_sd","OK_sd"
"guanosine","0.0065782545356924","0.169073104892515","0.0103919573980612","0.281810632052944","0.11800161233208","0.0501998413585584","OK_nc","NS"
"gamma.glutamyltyrosine","4.15562037011206e-15","0.0614413545488563","2.33023836456284e-14","0.126903984966207","0.341384948051263","0.0682370400470806","OK_nc","NS"
"methyl.indole.3.acetate","0.000582434531879049","0.104471305683051","0.00107532470715629","0.193407314886631","0.149547567563495","0.05925141842801","OK_nc","NS"
"alpha.tocopherol","0.00590505402280888","0.76675406847061","0.0094161672255601","0.837445330222421","-0.119726958343065","-0.0108344469532163","OK_nc","NS"
"N.carbamoylaspartate","2.45436093650128e-05","0.0194633790884891","5.42437750949875e-05","0.0498100185786203","0.182803800281781","0.085191437935694","OK_sd","C: Status"
"N.acetylalanine","2.3823375499115e-05","0.0609618289734857","5.27378801831958e-05","0.126298018193924","0.183768185825039","0.0683632114631589","OK_nc","NS"
"vanillylmandelate..VMA.","8.65133844096352e-07","0.336583155827802","2.21925638268195e-06","0.467740910580031","-0.213965508148304","-0.0350893967789439","OK_nc","NS"
"X4.acetamidobutanoate","0.270808313236954","0.768958283647152","0.319578923818957","0.837460987888592","0.0478953038944601","-0.0107290542104056","NS","NS"
"X3.aminoisobutyrate","2.70630659071583e-12","0.0466475678574486","1.23236847100718e-11","0.102270255164008","-0.304075282346471","-0.0725741361260848","OK_nc","NS"
"chenodeoxycholate","1.46362278938936e-06","0.052247684282055","3.6509855242672e-06","0.112978262224409","0.205926450533802","0.0708130934626945","OK_nc","NS"
"citrate","0.543106650683699","0.767709646865653","0.595792825366031","0.837445330222421","-0.0264527940810837","0.0107887457514699","NS","NS"
"X5.6.dihydrouracil","0.31310116143892","0.154421876451448","0.364077357388702","0.26161109406319","-0.0428699511026392","-0.0519823954017319","NS","NS"
"X2.aminobutyrate","0.487647158628463","0.0575500370848448","0.543744613195418","0.1205175930928","0.0301897880612083","0.0692854283762024","NS","NS"
"urate","6.84752372347856e-22","0.00117986540307005","6.36444499504137e-21","0.00489626101518672","0.418174146933179","0.118068136181004","OK_sd","C: Status"
"ursodeoxycholate","1.27827356853732e-23","3.70676638125436e-06","1.37668034325805e-22","3.14380123710135e-05","0.434968017057569","0.167817041864716","OK_sd","C: Status"
"oleoyl.ethanolamide","0.419057721505405","0.00340080877951771","0.473884440069029","0.0121444671415935","0.0351473324945188","0.106681279593722","NS","OK_nc"
"gamma.glutamylglutamine","2.60781616306404e-12","0.03400377783017","1.19554274772902e-11","0.0803887221525099","-0.304301310208172","-0.0773222839736031","OK_sd","C: Status"
"X4.hydroxyphenylpyruvate","0.0758354841033656","0.156479549974699","0.0997177828762278","0.264766520343725","0.0772035832950342","0.0517245458645521","OK_nc","NS"
"butyrate.isobutyrate..4.0.","0.694868054721322","0.00622759047615207","0.737821557321466","0.0193383072680512","0.017065103558432","0.0996725855476393","NS","OK_nc"
"N.acetylneuraminate","1.44613665421643e-08","5.31492440761315e-05","4.54260981428635e-08","0.00032933116078224","0.246483383185034","0.146817017714183","OK_sd","C: Status"
"N.acetylglucosaminylasparagine","0.000680622378968032","0.760840125274367","0.00124140398959626","0.836984180413701","0.14773181040783","0.0111176653647999","OK_nc","NS"
"acetoacetate","0.0228602139840687","0.173218290932387","0.0328267834670701","0.286096456191479","0.0988344496598281","0.0497166606392995","OK_nc","NS"
"creatine","6.27946254255479e-17","0.00117831891046671","4.09674551454176e-16","0.00489626101518672","0.363550747022083","0.1180816397529","OK_sd","C: Status"
"cys.gly..oxidized","0.213441484319418","0.836639740396136","0.257686916567126","0.883283748446183","0.0541110700912399","0.00753152653374823","NS","NS"
"estrone.3.sulfate","0.013873625499091","0.217044029546898","0.0207798121437821","0.339710205415387","0.0949392361765127","-0.0450669981928533","OK_nc","NS"
"dihomo.linoleate..20.2n6.","5.01456458409404e-07","0.00577145970267586","1.32388407404973e-06","0.0183416178373095","0.218561408002893","0.10057669257615","OK_sd","C: Status"
"gamma.glutamylhistidine","0.988941412884424","0.0541751778233282","0.990401105006763","0.116164323812468","0.000610275226592905","0.0702434317823318","NS","NS"
"X2.hydroxystearate","0.00449694079474076","0.942960791154886","0.00732574868963171","0.961121220709491","-0.12355436346787","0.00261346832821576","OK_nc","NS"
"N1.methyladenosine","2.7057207270131e-10","0.0123771649997254","1.01147741778424e-09","0.0344883221860931","0.274616317704762","0.0911711904582992","OK_sd","C: Status"
"glycerol","2.12879642914904e-09","0.83515843987447","7.29489079382638e-09","0.882640189181975","0.260391630941707","0.00760080782385591","OK_nc","NS"
"choline","0.0240634435721865","0.037550968035975","0.0344089493440011","0.0871386745355516","-0.0981186947644413","0.075856578705223","OK_sd","OK_sd"
"anthranilate","0.826115560817085","0.837423342235345","0.849271830324837","0.883283748446183","0.00956097854995597","0.00749488796744783","NS","NS"
"X12.HHTrE","7.37994153428691e-05","0.00715138687831244","0.000154070471723498","0.0216616785577455","-0.163455815320168","-0.0980104791984138","OK_sd","C: Status"
"gamma.glutamylleucine","1.4949317975169e-29","2.50081875753244e-09","2.50447215954375e-28","5.14183493025987e-08","0.490909912828588","0.21519602389582","OK_sd","C: Status"
"X3.methoxytyrosine","4.76290766663839e-05","0.526829512253879","0.000102105303374855","0.657325856445526","-0.1768668017811","-0.0231131475545946","OK_nc","NS"
"beta.hydroxyisovalerate","6.00921460686962e-13","1.11162049020273e-05","2.94386433989967e-12","8.52242375822094e-05","0.313123931076571","0.159479996599422","OK_sd","C: Status"
"arachidonoyl.ethanolamide","0.000531878116446195","3.18133321138678e-06","0.00098871041646231","2.73232225813409e-05","0.143128376291184","0.168945579836281","C: DOSAGE_DPPIV_C","OK_sd"
"palmitoyl.ethanolamide","0.000965159911407832","0.685573497554148","0.00172105387618979","0.780472513574647","-0.143535226442246","-0.0147878610374959","OK_nc","NS"
"N.palmitoyl.sphingosine..d18.1.16.0.","0.0495693165809857","0.406617348609498","0.0672655626003976","0.538321699573745","0.0854008604127268","0.0303053810882662","OK_nc","NS"
