"","Status","AGE","GENDER","CENTER_C","sitagliptin","Status","AGE","GENDER","CENTER_C","sitagliptin","Status","AGE","GENDER","CENTER_C","sitagliptin","Status","AGE","GENDER","CENTER_C","sitagliptin"
"X2.hydroxyphenylacetate","0.00375822781886658","0.00130534874702756","1.44575824237942e-11","0.19418416571766","0.0791950267803949","0.00607856394541353","0.00272306286598597","1.37195380063558e-10","0.215108500309277","0.181227068028661","0.119885698703601","0.106705850861423","Inf","Inf","0.0583815842145075","OK_sd","OK_sd","OK_sd","NS","NS"
"X3..4.hydroxyphenyl.lactate","1.65860524009936e-08","0.00332015786578757","1.92362570043548e-21","0.0112659054094872","0.145571389076282","4.86118209679228e-08","0.00654862532539787","4.27927881228024e-20","0.0152573190026688","0.281957759783381","0.233795007555702","0.0975122404151072","Inf","Inf","0.0484161341751882","OK_sd","OK_sd","OK_sd","OK_sd","NS"
"phenylpyruvate","4.05034613668863e-06","0.759561972847579","3.51868467050864e-10","2.3075042963304e-05","0.978814744173814","9.50920364617037e-06","0.814802843600131","2.91149701090258e-09","4.72290095040777e-05","0.991972821391983","0.190903616511197","-0.0101874632622468","Inf","Inf","0.000883936295267183","OK_sd","NS","OK_sd","OK_sd","NS"
"beta.alanine","1.4228295236712e-09","0.11205983011521","2.56849322613854e-05","0.320205575871507","0.00593343133809938","4.57530725976733e-09","0.159230564886221","9.68179252186111e-05","0.342410533063542","0.0251614572681277","0.250718643836706","0.0528563568106602","Inf","Inf","0.0913957174162758","OK_sd","NS","OK_sd","NS","C: Status"
"biliverdin","4.58019853904512e-05","0.105040188982125","0.000148299011255805","1.48162304428276e-05","0.353345119064769","9.51811549385028e-05","0.150374259776609","0.000484919899455727","3.09793909259123e-05","0.52345996350534","-0.168838694283799","0.0539156917906447","Inf","Inf","-0.0308870938903531","OK_sd","NS","OK_sd","OK_sd","NS"
"succinate","0.039145199712006","0.00070939345593611","0.938482712130943","0.288265795188986","0.773656820157122","0.0533869708635096","0.00154270339696362","0.953234311647971","0.311446404515489","0.856272886694","-0.0854419233522321","0.112350634700757","Inf","Inf","0.00957299093884286","OK_sd","OK_sd","NS","NS","NS"
"X3.hydroxybutyrate..BHBA.","0.992668094303231","2.38681638491698e-06","0.015283092727134","4.50503961760564e-06","0.112958294933583","0.993509659477596","7.89978008373743e-06","0.0301003727586659","1.00383230888191e-05","0.237282362577201","-0.000386306568347816","0.156071034701251","Inf","Inf","0.0527245793441538","NS","OK_sd","C: AGE","OK_sd","NS"
"cholesterol","4.5536273311417e-08","0.337098985972274","4.97878872622996e-09","3.06420519362925e-05","0.0343738187673011","1.28200669882973e-07","0.419850115030962","3.63237435564196e-08","6.07025758796334e-05","0.0979942690487975","-0.22648926863077","0.0319445958358712","Inf","Inf","-0.0703369818025575","OK_sd","NS","OK_sd","OK_sd","C: Status, GENDER, CENTER_C"
"choline.phosphate","3.76244432137766e-08","1.33248103701161e-06","0.000212342622644351","0.0723428550619829","0.196522122718737","1.06367436335614e-07","4.62449301080501e-06","0.000663937647300425","0.085513287734417","0.341659713854402","-0.227886789451558","-0.159901571145323","Inf","Inf","-0.0429712614855601","OK_sd","OK_sd","OK_sd","C: AGE, GENDER","NS"
"corticosterone","1.87366874417985e-22","0.0420125603174136","0.294900649380086","6.56118948074103e-08","0.0014939281449865","1.58910530365754e-21","0.0663690853908385","0.386274306186078","1.79145555842366e-07","0.00817443747075272","-0.399247838387511","0.0676084518728016","Inf","Inf","-0.105420579225459","OK_sd","C: CENTER_C","NS","OK_sd","C: Status, CENTER_C"
"cortisone","0.233797668486591","0.0287415431848924","0.000771904357157197","7.99349655243374e-07","0.147580372008542","0.277813867019531","0.0471611536903253","0.00213770247482105","1.92667403581751e-06","0.284066049383818","-0.0493222592117073","-0.0727030449302807","Inf","Inf","-0.0481761399963573","NS","OK_sd","OK_sd","OK_sd","NS"
"creatinine","0.112324662840812","0.0105649723453601","8.5757833329927e-42","0.546769368551702","0.438655059221298","0.142586124859665","0.0186918741494832","8.31238427347935e-40","0.566818971065439","0.602484732149091","-0.0657743742401691","0.0849535667922738","Inf","Inf","0.0257754795840438","NS","C: GENDER","OK_sd","NS","NS"
"cysteinylglycine","0.0584857637540914","0.00642005472919518","0.00513410196712711","0.0150110388813615","0.955622017170221","0.077580822496874","0.0119670525652718","0.0117092039821706","0.0198731509873245","0.977963105052783","0.0783747855430448","-0.0905383104358019","Inf","Inf","0.00185236935502584","C: GENDER","OK_sd","OK_sd","AD","NS"
"cystine","1.19324318059577e-06","4.11064310954334e-10","0.0223277356839454","2.79219572213117e-08","0.549588727550905","2.98751106285694e-06","2.57057267264991e-09","0.0421987985001587","8.06172254240851e-08","0.698788668506947","0.201174826446093","0.205805865577107","Inf","Inf","0.0199162619231544","OK_sd","OK_sd","C: Status, AGE","OK_sd","NS"
"sphingosine","0.000102958296795011","0.00867830989157285","0.19551534074683","7.54027565792693e-25","0.0599147720566445","0.000203665318878761","0.0157650154255212","0.27522232094756","1.04409735385784e-23","0.147557796154023","0.160862599843205","0.087194750254163","Inf","Inf","0.0625657186191378","OK_sd","OK_sd","NS","OK_sd","NS"
"deoxycholate","6.2545280204364e-24","0.0539064144816426","0.000935441038369767","9.84287069165093e-07","6.85516544072461e-06","5.77373777124639e-23","0.0828437196507237","0.00251365047340153","2.33510061688292e-06","0.000101113690250688","0.417228136752525","0.0640978777139243","Inf","Inf","0.148894687681485","OK_sd","C: Status, GENDER, sitagliptin","OK_sd","C: Status","C: Status"
"cystathionine","1.00842171932452e-13","3.13997228065804e-11","1.70257814516209e-05","0.0184122603892262","0.000352219777176806","4.8015027127136e-13","2.3411771345346e-10","6.81533493505889e-05","0.0241872578394772","0.00252890072819537","0.308124936088987","0.218349410271556","Inf","Inf","0.118532510721825","OK_sd","OK_sd","OK_sd","C: AGE","OK_sd"
"sphinganine","0.000275341662558753","0.000939353520904886","0.306529148791686","5.32070749712518e-31","0.18669241266529","0.000513239884742071","0.0019979666581002","0.398429171370036","1.16454839896756e-29","0.33030196086936","0.150670923613557","0.109783751802541","Inf","Inf","0.0439320126651112","OK_sd","OK_sd","NS","OK_sd","NS"
"fumarate","0.162811480691073","2.45905263203185e-09","0.000863079157010926","5.26150644225538e-09","0.0253278771986644","0.199760559943748","1.36042511205003e-08","0.00234239683212765","1.67209935413128e-08","0.0773854869481927","0.0578153227364139","0.196589144785869","Inf","Inf","0.0743391479614089","NS","OK_sd","OK_sd","OK_sd","OK_sd"
"gamma.glutamylglutamate","2.65753307740241e-18","0.000138074538917971","1.07314828079527e-07","0.0247670768380769","0.00119073195995552","1.75915726148052e-17","0.000352857155012592","6.53032384322505e-07","0.031766468118403","0.00687584370067932","0.36140683762626","0.12636802036883","Inf","Inf","0.107573411425445","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"gluconate","7.62974592001993e-27","7.05665253652757e-13","0.0294043603821471","0.00012960717733032","0.0113194676821802","8.28285217077364e-26","6.5142023755564e-12","0.053795638563003","0.000235129598445514","0.0419421447096086","0.444309363389499","0.235575359197568","Inf","Inf","0.0841560134441505","OK_sd","OK_sd","OK_sd","C: Status","C: Status, AGE, GENDER, CENTER_C"
"glutarate..C5.DC.","4.06020576840085e-08","0.0515179805158211","7.91112445207581e-07","0.00107395582768965","2.57559398744723e-08","1.14546761491059e-07","0.0794430676817832","4.08189957470223e-06","0.00170650826484175","1.34426193883303e-06","0.227330053514822","0.0647466784748276","Inf","Inf","0.183764856061313","OK_sd","C: Status, GENDER, sitagliptin","OK_sd","C: Status","OK_sd"
"glycine","2.90916461098976e-28","0.619450198309253","1.83909879594295e-05","1.06751272739182e-08","0.0126507589840728","3.52476462242242e-27","0.688488414861863","7.31864242256475e-05","3.2553140922937e-08","0.0451765261615441","-0.456648449660846","0.0165302485716218","Inf","Inf","-0.0828571175222711","OK_sd","NS","OK_sd","OK_sd","C: Status, GENDER, CENTER_C"
"glycocholate","5.33563960430526e-05","0.702639770260355","0.000147994889520534","0.0846403845337207","0.0121401189972275","0.000109870454370899","0.761567227031391","0.000484919899455727","0.0988442356387771","0.0440103096728587","0.167361639757763","0.0127071649443525","Inf","Inf","0.0833403503351958","OK_sd","NS","OK_sd","C: Status, GENDER, sitagliptin","C: Status"
"guanidinoacetate","1.18339858977539e-21","0.905808484370992","1.12632709268616e-21","6.61457491782645e-05","0.000308588816293985","9.67392702605547e-21","0.928385281942172","2.54737644129187e-20","0.000124321027195159","0.00225137109522009","-0.395964232556554","0.00393875441557012","Inf","Inf","-0.119667527811354","OK_sd","NS","OK_sd","C: Status","C: Status"
"histidine","5.4399751709406e-06","0.0401125364200909","0.493397976165729","0.330923560949225","0.600231433492583","1.25758880868252e-05","0.0637385385504255","0.585775200049776","0.353593127722912","0.728524340133865","-0.188347175985366","-0.068245100983282","Inf","Inf","-0.0174433837529485","OK_sd","C: Status","NS","NS","NS"
"cortisol","0.00982518132540772","9.42097691542778e-11","0.117239905738451","0.0182972442710522","0.350163817621189","0.0147486405515246","6.45669983547248e-10","0.179971212768188","0.024069338288477","0.51931398963055","-0.106950109642894","0.213085770681053","Inf","Inf","-0.0310917017132623","AD","OK_sd","NS","C: AGE","NS"
"hypotaurine","1.59600435350045e-05","0.842222098411026","0.000180301743789431","1.39810103575248e-05","0.544900526768336","3.4819580509648e-05","0.881863724956607","0.000574341470240041","2.93687787231598e-05","0.695606787229192","-0.17873495960824","-0.00662579593022661","Inf","Inf","0.0201506203807061","OK_sd","NS","OK_sd","OK_sd","NS"
"inosine","2.85202430454577e-05","0.256497223632401","0.330415992580721","1.95647835637752e-34","0.0624844964801469","6.07566245097113e-05","0.330167327437748","0.422596137541977","5.00932288604585e-33","0.152502628999208","0.173343710588209","-0.0377577411490869","Inf","Inf","0.0619491009843808","C: CENTER_C","NS","NS","OK_sd","NS"
"myo.inositol","0.00427225566958237","5.04122245530096e-11","0.0198286388861524","0.27161879814493","0.990094545206719","0.00683661667880104","3.65825608119968e-10","0.037844533007748","0.294163375165738","0.996552988634371","-0.118357515367048","0.216097918967782","Inf","Inf","0.000413258559863273","OK_sd","OK_sd","C: AGE","NS","NS"
"isoleucine","3.18338723482217e-50","0.896390255202044","2.65940393977921e-34","1.12715313839368e-21","7.83960642151153e-07","1.66148326063603e-48","0.923615471760952","1.56904832446973e-32","1.31857483517261e-20","1.8663764761388e-05","0.61726676740936","-0.00433471884309396","Inf","Inf","0.16331072962978","OK_sd","NS","OK_sd","OK_sd","C: Status"
"X2.aminoadipate","1.70282389295969e-48","2.52358443423806e-06","1.46523885128799e-17","2.51298911788993e-05","2.42913362529996e-09","8.25261436695107e-47","8.26192404456224e-06","2.45472731012074e-16","5.0670523521198e-05","1.73491280501686e-07","0.606154772590413","0.155700065818362","Inf","Inf","0.196653737687816","OK_sd","OK_sd","OK_sd","C: Status","OK_sd"
"X3.sulfo.L.alanine","0.00768596111019598","0.00385509205478996","0.861671502687344","3.23279634884586e-11","0.31079579984428","0.0117453257055585","0.00750553790294114","0.893268318675879","1.3415610536342e-10","0.478717253562642","-0.110398463863293","0.0959704377174479","Inf","Inf","0.0337286922644229","OK_sd","C: CENTER_C","NS","OK_sd","NS"
"citrulline","1.18276230527176e-26","0.20515675651774","0.656335789588276","0.00890017810453568","6.99186765289292e-08","1.27381622877284e-25","0.272404812714846","0.725874218803008","0.0122366177181914","2.7108469728502e-06","-0.442627793621397","0.0421559092605302","Inf","Inf","-0.178028083216645","OK_sd","NS","NS","C: Status","OK_sd"
"lactose","1.93136056482613e-52","2.64924716144755e-08","0.000264816770368976","1.31393389827562e-10","2.49611304668979e-06","1.13950273324741e-50","1.265855069748e-07","0.000811331119883281","5.13835244945251e-10","4.39899403163383e-05","0.617783736493473","0.183605373987224","Inf","Inf","0.155773006439732","OK_sd","OK_sd","OK_sd","C: Status","C: Status"
"leucine","1.91299242026058e-49","0.194850269698875","7.68245605238573e-32","1.24688778757077e-17","5.21651581151194e-08","9.61455820108742e-48","0.260504252198397","3.93940538080538e-30","1.00119924717961e-16","2.21212873631928e-06","0.612284548873462","0.0431321397013641","Inf","Inf","0.179729870970548","OK_sd","NS","OK_sd","OK_sd","C: Status"
"leukotriene.B4","0.000186041227391057","0.190609138699465","0.880679857749422","1.98973063912885e-22","0.462355189870247","0.000353088035761768","0.255842335524406","0.905365581034822","2.50005970120171e-21","0.619976277326013","0.144211650551623","-0.0435448408082917","Inf","Inf","0.0244615224393057","OK_sd","NS","NS","OK_sd","NS"
"lysine","0.092691161886964","0.00662961773518437","0.544206841674545","0.665050697404881","0.231031448782419","0.120020903321193","0.0122901520036136","0.632267709034553","0.683174713382607","0.388007024749682","0.0696488018815403","0.0901869484954037","Inf","Inf","-0.0398523613500343","NS","OK_nc","NS","NS","NS"
"malate","4.22877233375413e-09","1.8927468361077e-08","4.26458848475817e-07","1.14869449116231e-06","0.00110132809742332","1.28953799031559e-08","9.20594070465285e-08","2.35245795683611e-06","2.70621254254731e-06","0.00646970661559934","0.243350414143365","0.185498241339897","Inf","Inf","0.108305372541117","OK_sd","OK_sd","OK_sd","OK_sd","OK_sd"
"methionine","0.726737912431802","0.379476973922232","4.4659834768323e-13","0.0107562899774243","0.959398101103377","0.76448321486043","0.461424958434111","4.8873706274689e-12","0.0146549051198441","0.978874603907731","0.0144808153340984","-0.0292484821031203","Inf","Inf","0.00169461051116117","NS","NS","OK_sd","OK_sd","NS"
"palmitate..16.0.","9.98425421160484e-15","1.64220404898774e-06","0.104098124470448","0.000749835477736732","0.0388142089935197","5.0554600616223e-14","5.62745175372819e-06","0.161257026148856","0.00122889703295742","0.108376299597132","0.320577641939259","0.158538593854859","Inf","Inf","0.0686949854161626","OK_sd","OK_sd","NS","OK_sd","NS"
"nicotinamide","0.150339644317373","0.0100370568232386","0.0564861378452417","0.0233125698888609","0.265533246379807","0.186481624624018","0.0178978792498486","0.095575672139642","0.0299859311271888","0.42947391577759","0.0595821071887107","-0.0855422572539897","Inf","Inf","0.0370494324792642","NS","C: CENTER_C","C: CENTER_C","OK_sd","NS"
"stearate..18.0.","1.09485150595445e-08","1.62293499722952e-07","0.340140464166261","6.17246008038372e-06","0.00126426613953539","3.25101420914701e-08","6.71439875378188e-07","0.432993067423655","1.34879683238015e-05","0.00714837146395634","0.236737754649881","0.173042279100805","Inf","Inf","0.10700843649202","OK_sd","OK_sd","NS","OK_sd","OK_sd"
"ornithine","0.711249614633021","0.0423425573501765","1.43478079047642e-05","0.00674995409529716","0.635100454248983","0.750517672672636","0.0668126166560343","5.91792563123555e-05","0.00944297701785387","0.754234844439017","-0.0153386431549885","0.0675003692709395","Inf","Inf","-0.0157957630986906","NS","OK_sd","OK_sd","OK_sd","NS"
"orotate","1.33873591239554e-05","0.000166507836562805","0.00519519696915726","9.036533992069e-06","0.5791156508589","2.9491308979233e-05","0.000417654591895983","0.0118286615556148","1.93111442948624e-05","0.715068187639242","-0.180336995671094","0.124837532541396","Inf","Inf","-0.0184620302368922","OK_sd","C: CENTER_C","OK_sd","OK_sd","NS"
"palmitoleate..16.1n7.","0.347190508026493","0.00118219517096853","2.59219532735346e-15","7.37274413949846e-12","0.0445692166915975","0.39758440455017","0.0024833418684277","3.48278124675114e-14","3.3128522507614e-11","0.118125834083004","0.0389431106768318","0.107641072432734","Inf","Inf","-0.0667891081639868","NS","OK_sd","OK_sd","OK_sd","NS"
"phenylalanine","0.000761824231356436","0.445429822022135","0.0162302967670205","0.169165585956588","0.558259791648943","0.00135313544757943","0.526981925443799","0.0317356090963211","0.188821819557178","0.705361766543404","0.139439628236738","0.0253958581322929","Inf","Inf","0.0194853768964934","OK_sd","NS","OK_sd","NS","NS"
"phosphate","0.184611401347108","0.367025315669734","2.03591635074205e-06","0.0507817177196632","0.684705698278263","0.224679526123789","0.44910131051743","9.90228848730095e-06","0.0614726056606449","0.792747602773143","0.0549577903264291","-0.0300202015134461","Inf","Inf","0.0135156295239749","NS","NS","OK_sd","C: GENDER","NS"
"phytanate","1.95012595524676e-07","0.00451562288505944","0.380782181511731","3.74874003783765e-16","0.909301848171313","5.17871021774922e-07","0.00861842511255367","0.475364692098822","2.69155567796068e-15","0.946259668687478","-0.215559065138105","0.0943146319993702","Inf","Inf","0.00379202954496794","OK_sd","OK_sd","NS","OK_sd","NS"
"pristanate","2.22934985851929e-05","5.25361796615707e-05","0.391588500392276","2.89151986996726e-16","0.562702052503342","4.80194882223916e-05","0.000141451578969745","0.486171633149423","2.12096889921382e-15","0.706144151873241","-0.175621783145672","0.134007148496353","Inf","Inf","0.0192658920567115","OK_sd","OK_sd","NS","OK_sd","NS"
"proline","4.89328774539418e-36","0.0129727576793793","7.20201552092894e-14","6.2339566036752e-13","0.000112619298551697","1.00608961674241e-34","0.022714880220539","8.49837831469615e-13","3.19225626837255e-12","0.00101208204062684","0.51915058002795","0.0825611917037451","Inf","Inf","0.128014354680869","OK_sd","C: Status, GENDER","OK_sd","OK_sd","C: Status"
"lactate","1.23369032085399e-33","0.0173330453547308","0.00273869016750566","3.86536932661084e-47","4.17588777341738e-06","2.06681205604799e-32","0.0296233533329594","0.00655450186473578","1.69203425039061e-45","6.99590087472516e-05","0.500664674536716","0.0790848303923598","Inf","Inf","0.15230706652876","OK_sd","C: Status","C: Status","OK_sd","OK_sd"
"pyridoxal","1.7425644469606e-08","0.118454534492859","0.00448243171928371","8.02360376137343e-12","0.15251427993968","5.09624990199469e-08","0.167266184502403","0.0103799656025051","3.54658967562988e-11","0.290269113433584","-0.233442786861032","0.0519359016078886","Inf","Inf","-0.0475971290659365","OK_sd","NS","OK_sd","OK_sd","NS"
"retinol..Vitamin.A.","5.54540384204044e-05","3.69056438860422e-07","1.61985484740092e-05","0.000151764192889687","0.0369100117761504","0.00011350095043211","1.42275451003862e-06","6.52267960808026e-05","0.000273861715094821","0.103914701203809","0.166986695147308","0.168035753214527","Inf","Inf","0.0693784754301885","OK_sd","OK_sd","OK_sd","OK_sd","NS"
