Name,p,q,Rho
gamma.glutamylisoleucine.,1.47E-12,1.10E-10,0.254267171
cholesterol.sulfate,0.000178644,0.000932386,0.136244228
N6.carboxymethyllysine,2.64E-06,2.32E-05,0.170303333
X5alpha.androstan.3alpha.17alpha.diol.disulfate,2.95E-06,2.55E-05,0.169488231
X5alpha.androstan.3alpha.17beta.diol.disulfate,4.47E-06,3.70E-05,0.166427712
X2.hydroxyglutarate,0.007912222,0.023545802,0.096780366
N.acetyl.cadaverine,9.81E-10,2.33E-08,0.220518864
X4.hydroxyglutamate,3.70E-06,3.14E-05,0.167824642
X1..1.enyl.palmitoyl..GPE..P.16.0..,9.09E-08,1.27E-06,-0.193358842
leucylalanine,5.53E-08,8.52E-07,-0.196530825
phenylalanylalanine,4.86E-21,3.30E-18,-0.333885248
prolylglycine,2.53E-36,3.43E-33,0.4364625
X.R..3.hydroxybutyrylcarnitine,3.49E-11,1.53E-09,0.238467553
X2.piperidinone,6.85E-08,1.03E-06,0.195170632
indolin.2.one,0.005060056,0.016585739,0.102124169
X3.hydroxyadipate,3.17E-15,3.58E-13,0.282114128
X5alpha.androstan.3alpha.17beta.diol.17.glucuronide,8.00E-06,6.28E-05,0.162016978
alpha.CEHC.sulfate,0.001737421,0.006833854,0.114021781
alpha.CMBHC.glucuronide,0.014261838,0.038475774,0.08933406
sphingomyelin..d18.2.14.0..d18.1.14.1..,1.06E-07,1.42E-06,-0.192362599
X5alpha.androstan.3alpha.17beta.diol.monosulfate..2.,7.70E-05,0.000452511,0.143665348
phenylacetylcarnitine,0.000609293,0.002737783,0.124705252
propyl.4.hydroxybenzoate,0.002507414,0.009373447,-0.110065305
X6.hydroxyindole.sulfate,0.002077923,0.007920622,0.112106961
sphingomyelin..d18.1.20.1..d18.2.20.0..,1.66E-06,1.55E-05,-0.173684199
sphingomyelin..d18.1.22.1..d18.2.22.0..d16.1.24.1..,1.04E-07,1.42E-06,-0.192506799
sphingomyelin..d18.1.22.2..d18.2.22.1..d16.1.24.2..,6.94E-08,1.04E-06,-0.195081926
dopamine.4.sulfate,1.01E-07,1.39E-06,0.192701353
dopamine.3.O.sulfate,5.77E-09,1.07E-07,0.210320018
X3.hydroxyhexanoate,0.000118607,0.000662346,0.139900026
X1..1.enyl.stearoyl..2.oleoyl.GPE..P.18.0.18.1.,0.008695185,0.025484593,0.095620313
palmitoyl.dihydrosphingomyelin..d18.0.16.0..,3.73E-11,1.58E-09,-0.238118844
sphingomyelin..d18.2.24.1..d18.1.24.2..,2.89E-12,1.96E-10,-0.250975299
phenylacetylglutamate,2.14E-05,0.000150975,0.154285816
X1..1.enyl.palmitoyl..2.palmitoleoyl.GPC..P.16.0.16.1..,5.10E-12,2.77E-10,-0.248180759
glycocholate.glucuronide..1.,2.06E-06,1.86E-05,0.172125319
glycochenodeoxycholate.glucuronide..1.,2.38E-10,7.51E-09,0.228323303
X.S..3.hydroxybutyrylcarnitine,1.08E-18,2.93E-16,0.314206878
caffeic.acid.sulfate,0.000210534,0.001078092,0.134752307
pimeloylcarnitine.3.methyladipoylcarnitine..C7.DC.,1.12E-10,4.00E-09,-0.232360141
X2.hydroxybehenate,2.34E-10,7.51E-09,0.228420958
X2.hydroxynervonate.,7.66E-12,4.00E-10,0.246162147
sphingomyelin..d18.2.18.1..,2.65E-06,2.32E-05,-0.170290709
sphingomyelin..d18.2.24.2..,5.00E-10,1.36E-08,-0.224261341
sphingomyelin..d18.2.21.0..d16.2.23.0..,8.38E-05,0.000488073,-0.14293176
sphingomyelin..d18.2.23.1..,5.68E-07,5.97E-06,-0.181191455
sphingomyelin..d17.2.16.0..d18.2.15.0..,5.28E-05,0.000328435,-0.146878515
N.N.N.trimethyl.5.aminovalerate,4.46E-05,0.000293472,0.148296835
cortolone.glucuronide..1.,0.000198356,0.001023455,0.135295286
X5.dodecenoylcarnitine..C12.1.,0.001276357,0.005216917,-0.117256277
X3.hydroxyoleoylcarnitine,7.56E-08,1.11E-06,0.194539574
X2.hydroxyheptanoate.,3.79E-07,4.18E-06,0.183939223
lyxonate,0.0140356,0.038092619,0.089542868
dodecenedioate..C12.1.DC..,0.008571187,0.025307816,0.095797651
N.acetylglucosamine.conjugate.of.C24H40O4.bile.acid..,2.57E-12,1.84E-10,0.251544303
gamma.glutamylcitrulline.,3.87E-10,1.11E-08,-0.22567808
glutamine.conjugate.of.C7H12O2.,0.002275436,0.008601021,0.111124348
glutamine.conjugate.of.C6H10O2..1..,6.72E-05,0.000406872,0.144832702
glutamine.conjugate.of.C6H10O2..2..,0.000106053,0.000602152,0.140883197
Fibrinopeptide.A..5.16..,4.60E-08,7.44E-07,0.197681442
N.N.dimethylalanine,1.58E-07,2.04E-06,-0.189770624
ascorbic.acid.3.sulfate.,0.001061208,0.004444628,0.119154971
X1.heptadecenoylglycerol..17.1..,0.00184363,0.007168499,0.1133901
glycoursodeoxycholic.acid.sulfate..2.,5.03E-19,1.71E-16,0.317077707
lithocholate.sulfate..1.,7.63E-10,1.85E-08,0.221924872
X3.hydroxyhexanoylcarnitine..1.,1.68E-06,1.56E-05,0.173576394
Fibrinopeptide.B..1.9...,0.00037036,0.001757268,0.129500964
hydroxypalmitoyl.sphingomyelin..d18.1.16.0.OH....,5.44E-10,1.42E-08,-0.223800092
isoursodeoxycholate.sulfate..1.,1.95E-15,2.41E-13,0.284182007
isoursodeoxycholate.sulfate..2.,2.08E-10,6.87E-09,0.229059133
chenodeoxycholic.acid.sulfate..1.,3.35E-10,9.87E-09,0.226468708
deoxycholic.acid.12.sulfate.,1.63E-18,3.69E-16,0.312644385
cis.3.4.methyleneheptanoylcarnitine,0.004596083,0.015441382,0.103242958
X.11381,4.77E-06,3.90E-05,-0.165931325
X.11979,6.79E-06,5.39E-05,0.163275148
X.12101,1.93E-06,1.76E-05,0.172571695
X.12839,0.000164265,0.000870733,0.137000634
X.12851,0.00091415,0.003876566,0.12066967
X.13507,5.36E-07,5.78E-06,0.181581011
X.14939,0.003917136,0.01369988,0.105079771
X.15486,0.005732631,0.018260988,0.100656594
X.16397,6.52E-10,1.64E-08,-0.222795422
X.16580,2.24E-07,2.79E-06,0.187468143
X.16964,1.45E-06,1.39E-05,0.174611915
X.17398,0.000299349,0.001466486,0.131502684
X.17673,0.001136142,0.004743828,0.118456371
X.18887,4.90E-07,5.37E-06,-0.182193185
X.18922,4.43E-06,3.69E-05,0.166492152
X.21353,0.000892247,0.003807484,0.120914308
X.21736,3.94E-05,0.000264852,0.14931352
X.22520,3.52E-12,2.17E-10,0.250013861
X.22834,8.40E-08,1.19E-06,0.193863386
X.23662,2.73E-16,4.11E-14,0.292410183
X.24410,2.70E-16,4.11E-14,0.292444183
X.24411,3.17E-07,3.65E-06,0.185143074
X.24519,3.07E-07,3.58E-06,0.185372031
X.24949,1.09E-07,1.45E-06,0.19218946
X.24953,0.003159939,0.011496079,0.107505443
X.25937,0.000832357,0.003597159,0.121612787
X.26107,5.11E-09,9.77E-08,0.211033965
X.26108,3.10E-18,6.01E-16,0.310186522
