Name,Effect Size of Serum Metformin,Effect Size of HbA1c
X.12544,NA,-0.2435165
X.12798,NA,-0.15992481
X.12816,NA,-0.181431817
X.13431,NA,-0.205148108
X.13658,NA,0.285914273
X.15245,NA,0.344016367
X.16935,NA,0.408752029
X.17010,NA,0.237236471
X.17354,NA,-0.319584105
X.17357,NA,0.268840288
X.17653,NA,0.236025601
X.17654,NA,0.235279313
X.18887,NA,-0.288326077
X.18921,NA,-0.220890511
X.21312,NA,-0.178203251
X.21319,NA,-0.171301455
X.21339,NA,0.32062469
X.21442,NA,-0.195552093
X.21467,NA,0.431772684
X.21471,NA,0.391086645
X.21742,NA,-0.241975166
X.22509,NA,-0.248157151
X.23639,NA,-0.222300117
X.24295,NA,0.377121286
X.24475,NA,-0.286538766
X.24556,NA,-0.210215925
X.24588,NA,0.185076076
X.24608,NA,0.16740615
X.24812,NA,0.155214323
X.24951,NA,0.226476775
X.25519,NA,0.305231515
X.25936,NA,0.389017529
