"model_id","alpha","lambda","dropped","test_rmsee","test_mae","test_r2"
870,0.33,0.0164467617799466,"AGE;GENDERFemale;CENTER_CDanemark;`cholic acid glucuronide`;`X-18887`;valine;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`",0.375735283503106,0.295323012664786,-0.00418931584909621
595,0.965,0.00860346441668451,"GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;CENTER_CGermany;`X-21310`;`X-18887`;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`X-17654`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.379725284300184,0.289735751669928,-0.0256298904697287
505,0.515,0.024658110758226,"AGE;GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`N6-acetyllysine`;`methionine sulfone`;valine;`indolin-2-one`;`X-15461`;`X-17654`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`",0.375771703639709,0.295235904457458,-0.00438399804247447
388,0.935,0.0109698579789238,"GENDERFemale;CENTER_CDanemark;CENTER_CFrance;leucine;`N6-acetyllysine`;`methionine sulfone`;`X-18887`;`1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*`;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.376844824671972,0.293218780393128,-0.0101287872232021
60,0.3,0.024658110758226,"GENDERMale;CENTER_CFrance;leucine;`methionine sulfone`;`X-17654`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.375122889363637,0.300890656792122,-0.000918616868720967
223,0.11,0.0209704640132323,"`methionine sulfone`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.382206380502598,0.287533837929614,-0.0390764526341048
350,0.745,0.0139871310264724,"AGE;GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CGermany;leucine;`methionine sulfone`;`X-18887`;`ascorbic acid 3-sulfate*`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.379674743428337,0.289785837739303,-0.0253568890061076
468,0.33,0.024658110758226,"GENDERMale;CENTER_CFrance;leucine;`ascorbic acid 3-sulfate*`;`1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*`;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`5-hydroxyindole sulfate`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265;NA",0.393888157505212,0.295947340886474,-0.103563898442181
36,0.18,0.0434701315812503,"CENTER_CFrance;`X-18887`;`indolin-2-one`;`X-15461`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`",0.374951927584111,0.299264240929962,-6.4899942651131e-06
244,0.215,0.0369691270719502,"CENTER_CFrance;`methionine sulfone`;`ascorbic acid 3-sulfate*`;valine;`indolin-2-one`;`X-15461`;`N-acetylneuraminate`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.377997848955429,0.29163073228997,-0.01631958382456
779,0.88,0.00573844164830239,"CENTER_CFrance;`ascorbic acid 3-sulfate*`;valine;`X-15461`;`X-17654`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.403635754777223,0.313935307495446,-0.158859798121427
17,0.085,0.0830994194935339,"GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`X-18887`;`ascorbic acid 3-sulfate*`;`indolin-2-one`;`5-hydroxyindole sulfate`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.38415118882707,0.286057032466102,-0.0496777714032932
613,0.05,0.124588336429501,"GENDERMale;`N6-acetyllysine`;`ascorbic acid 3-sulfate*`;`indolin-2-one`;`X-15461`;`X-17654`;`5-hydroxyindole sulfate`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.37594985564666,0.303394809729784,-0.00533657344406402
232,0.155,0.031440354715915,"leucine;`N6-acetyllysine`;valine;`indolin-2-one`;`X-15461`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.37526190759366,0.296727565357567,-0.001660622871412
415,0.065,0.0601027678207039,"GENDERFemale;CENTER_CDanemark;CENTER_CFrance;valine;`androstenediol (3beta,17beta) disulfate (2)`;`andro steroid monosulfate C19H28O6S (1)*`",0.375220969417667,0.301339785625453,-0.00144208791591671
229,0.14,0.0471375313411673,"AGE;leucine;`N6-acetyllysine`;`methionine sulfone`;`X-18887`;`ascorbic acid 3-sulfate*`;`indolin-2-one`;`X-17654`;`andro steroid monosulfate C19H28O6S (1)*`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.374991310514987,0.299977164344161,-0.000216571617384087
619,0.08,0.0651733960488242,"CENTER_CFrance;valine;`N-acetylneuraminate`;`X-17654`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.38017138077651,0.311850895998274,-0.028041100095471
272,0.355,0.0193389175045523,"GENDERFemale;CENTER_CDanemark;CENTER_CFrance;CENTER_CGermany;leucine;`N6-acetyllysine`;`X-21310`;valine;`indolin-2-one`;`5-hydroxyindole sulfate`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.378304686471991,0.291261348216265,-0.0179702363198257
770,0.835,0.0151671688847092,"GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`N6-acetyllysine`;`methionine sulfone`;valine;`indolin-2-one`;`X-15461`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`;NA",0.37669806286292,0.304777613933485,-0.00934215330436405
130,0.65,0.0151671688847092,"CENTER_CFrance;`N6-acetyllysine`;`X-18887`;`ascorbic acid 3-sulfate*`;valine;`indolin-2-one`;`X-15461`;`X-17654`;`5-hydroxyindole sulfate`;`X-21364`;NA",0.375368257282212,0.301880628438743,-0.00222844703881386
88,0.44,0.024658110758226,"GENDERMale;GENDERFemale;CENTER_CDanemark;CENTER_CGermany;leucine;`N6-acetyllysine`;`methionine sulfone`;valine;`indolin-2-one`;`X-15461`;`5-hydroxyindole sulfate`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.381992517085738,0.287707405203341,-0.0379139483945341
752,0.745,0.00932930402628468,"AGE;GENDERMale;CENTER_CFrance;CENTER_CGermany;`ascorbic acid 3-sulfate*`;`indolin-2-one`;`X-15461`;`X-17654`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.394018781779399,0.296213416461068,-0.104295964806458
169,0.845,0.0109698579789238,"GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`cholic acid glucuronide`;leucine;`N6-acetyllysine`;valine;`indolin-2-one`;`X-15461`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.374953063084445,0.299322510759512,-1.25468209613011e-05
719,0.58,0.0139871310264724,"`cholic acid glucuronide`;leucine;`N6-acetyllysine`;`ascorbic acid 3-sulfate*`;`1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*`;`X-25519`;valine;`X-15461`;`N-acetylneuraminate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.382041680941559,0.287667280488463,-0.0381811323479777
332,0.655,0.0101163797976621,"GENDERFemale;CENTER_CDanemark;CENTER_CFrance;`cholic acid glucuronide`;leucine;valine;`X-15461`;`N-acetylneuraminate`;`andro steroid monosulfate C19H28O6S (1)*`",0.376281838733007,0.294173964552891,-0.00711288533655519
804,0,0.105956017927762,"",0.375380049710719,0.301919432412565,-0.0022914192946013
797,0.97,0.0118953406737032,"AGE;GENDERFemale;CENTER_CDanemark;CENTER_CFrance;leucine;`methionine sulfone`;`X-18887`;`ascorbic acid 3-sulfate*`;valine;`X-15461`;`N-acetylneuraminate`;`X-17654`;`X-21285`;`5-hydroxyindole sulfate`;`X-21364`",0.375598608757072,0.295669405576928,-0.0034588954510506
923,0.595,0.0151671688847092,"CENTER_CFrance;`cholic acid glucuronide`;`X-18887`;`ascorbic acid 3-sulfate*`;valine;`X-15461`;`X-17654`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`",0.375020210357599,0.297986928069813,-0.000370747005216776
364,0.815,0.00932930402628468,"AGE;GENDERMale;CENTER_CFrance;`methionine sulfone`;`X-18887`;`ascorbic acid 3-sulfate*`;`indolin-2-one`;`X-15461`;`X-17654`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.381295171139055,0.28829195983287,-0.0341278824371605
126,0.63,0.0164467617799466,"GENDERMale;CENTER_CFrance;`cholic acid glucuronide`;`N6-acetyllysine`;`X-18887`;`ascorbic acid 3-sulfate*`;valine;`indolin-2-one`;`X-15461`;`X-17654`;`5-hydroxyindole sulfate`;`androstenediol (3beta,17beta) disulfate (2)`;`andro steroid monosulfate C19H28O6S (1)*`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265;NA",0.374957355489778,0.29946377622853,-3.54429334687989e-05
833,0.145,0.0471375313411673,"`cholic acid glucuronide`;`N6-acetyllysine`;`ascorbic acid 3-sulfate*`;`indolin-2-one`;`X-17654`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`",0.389389790769657,0.286191067754054,-0.0785015134917844
451,0.245,0.0340928506974681,"GENDERFemale;CENTER_CDanemark;CENTER_CFrance;leucine;`methionine sulfone`;`X-18887`;`ascorbic acid 3-sulfate*`;valine;`X-15461`;`N-acetylneuraminate`;`5-hydroxyindole sulfate`;`X-21364`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.388640815914708,0.284434154018251,-0.0743565991797748
902,0.49,0.0164467617799466,"GENDERMale;CENTER_CFrance;CENTER_CGermany;`N6-acetyllysine`;`X-18887`;`ascorbic acid 3-sulfate*`;valine;`indolin-2-one`;`X-17654`;`androstenediol (3beta,17beta) disulfate (2)`;`X-21364`;`andro steroid monosulfate C19H28O6S (1)*`;FunctionAdjustedID.KEGG_ko.down.10000000.fpkm.v3.5265",0.384814268786283,0.285588769786658,-0.0533045777823324
407,0.025,0.0400880632889846,"",0.375736560197436,0.295319925447579,-0.00419614004176982
