"input","output","mediator","acme","acme_ci_lower","acme_ci_upper","ade","ade_ci_lower","ade_ci_upper","total_effect","total_ci_lower","total_ci_upper","prop_mediated","acme_p","ade_p","total_p","acme_p_adj","ade_p_adj","total_p_adj"
"DOSAGE_METFORMIN_C","GLYCATHB","indolin-2-one",-0.0578854656913759,-0.135050844888797,-0.00766123879806223,0.696924768063008,0.418954062463871,0.967692324934195,0.639039302371632,0.362097169247092,0.916597495816049,-0.0905820118990315,0.022,0,0,0.0792,0,0
"metformin","AG","X-15461",0.000220524623860139,6.03282029895473e-05,0.000428660935642857,-0.000798241085878561,-0.00178822210806919,0.000265058883155758,-0.000577716462018413,-0.0015608863050251,0.000462257794369619,-0.381717742800119,0.004,0.124,0.272,0.044,0.341,0.316
"DOSAGE_METFORMIN_C","AG","N-acetylneuraminate",0.0309881077205717,0.0067058999775223,0.0715095088603805,-0.273093235721326,-0.396526779024323,-0.158563352737287,-0.242105128000754,-0.359728077332928,-0.137706210459566,-0.127994429430157,0.008,0,0,0.077,0,0
"DOSAGE_METFORMIN_C","AG","X-17654",0.0267409426715034,0.00369952531113407,0.0671575145468249,-0.273280032405515,-0.390539606624458,-0.161343443196911,-0.246539089734012,-0.352721189119467,-0.134970378115988,-0.108465325723211,0.014,0,0,0.077,0,0
"DOSAGE_METFORMIN_C","AG","X-21285",0.0373116400787573,0.00874782822259916,0.0697366880835013,-0.273892020539262,-0.382642338166852,-0.158518081632176,-0.236580380460505,-0.342101238776029,-0.131719271058486,-0.157712317505492,0.004,0,0,0.044,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","5-hydroxyindole sulfate",-0.0691405352285992,-0.146426012896,-0.0158051880823853,0.705759813116879,0.414501758744867,0.974440416065468,0.63661927788828,0.361056968766515,0.8878326785207,-0.108605783126682,0.002,0,0,0.022,0,0
"DOSAGE_METFORMIN_C","AG","androstenediol (3beta,17beta) disulfate (2)",0.0189423371792018,0.00148164221721803,0.0447462908766039,-0.265558998687554,-0.380879477781114,-0.150872702930529,-0.246616661508352,-0.362792878761399,-0.133684392237173,-0.0768088297982264,0.018,0,0,0.099,0,0
"DOSAGE_METFORMIN_C","AG","X-21364",0.0213460008751639,0.00351517540308805,0.0474999966419398,-0.268104720885216,-0.378639965433105,-0.156074640652649,-0.246758720010052,-0.356927468754052,-0.134988624318601,-0.0865055584430587,0.006,0,0,0.066,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","cholic acid glucuronide",-0.0996416104303181,-0.180179675815165,-0.0375009542377152,0.731190262601501,0.452576584651208,1.01391046242887,0.631548652171183,0.344367214987547,0.906382539264857,-0.157773451162888,0,0,0,0,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","cholate",-0.0890197223813664,-0.167754815945869,-0.0269213018499221,0.710475254405313,0.445948894970269,0.983446228930188,0.621455532023947,0.358122264509149,0.89095393176673,-0.143243913352011,0.004,0,0,0.022,0,0
"DOSAGE_METFORMIN_C","AG","andro steroid monosulfate C19H28O6S (1)*",0.0246868626389046,0.00624047399247681,0.0513008621656545,-0.270469964429359,-0.389456187948107,-0.153321319944965,-0.245783101790454,-0.357762426155016,-0.134138523101603,-0.100441659573292,0.006,0,0,0.066,0,0
"DOSAGE_METFORMIN_C","AG","TaxonAdjustedID.MGS.down.10000000.v6.2202",0.0305533494291291,0.00739757141782007,0.057141359688269,-0.278407681475982,-0.394861791302389,-0.158844570296303,-0.247854332046853,-0.365074458976403,-0.131745609286054,-0.123271395649254,0.008,0,0,0.088,0,0
"DOSAGE_METFORMIN_C","AG","TaxonAdjustedID.MGS.down.10000000.v6.873",0.0264013182407019,0.00633471894655259,0.0521857182928884,-0.271576954282631,-0.386895713829722,-0.158585380625256,-0.245175636041929,-0.360797330457572,-0.130755654244986,-0.107683286426498,0,0,0,0,0,0
"metformin","GLYCATHB","TaxonAdjustedID.MGS.down.10000000.v6.2415",0.000263663654956056,6.8665022560407e-05,0.000524219863889075,0.00150251824594783,-0.000880965378850984,0.00374084812976954,0.00176618190090388,-0.000550616004259588,0.00400175908149259,0.149284541315433,0.008,0.19,0.126,0.088,0.19,0.138
"DOSAGE_METFORMIN_C","GLYCATHB","leucine",0.097716329593925,0.0337711377039934,0.17590783541625,0.531043690081282,0.230497555209235,0.821911721649731,0.628760019675207,0.362032049255279,0.895712158235589,0.155411168865987,0.002,0,0,0.022,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","3-indoxyl sulfate",-0.0696742174208416,-0.148513825952097,-0.0127765180713008,0.705745247975281,0.391436463368922,0.980868050922583,0.63607103055444,0.343589734529666,0.894746658696804,-0.109538422713748,0.014,0,0,0.077,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","N6-acetyllysine",-0.0598407823109439,-0.142757715899799,-0.00981628137087573,0.68987632424805,0.409420459146186,0.964977058519715,0.630035541937106,0.359211540240448,0.884317117643126,-0.0949800103768075,0.008,0,0,0.088,0,0
"DOSAGE_METFORMIN_C","AG","N6-acetyllysine",0.027277396809691,0.00406567806857057,0.0594864554572884,-0.26985854104763,-0.381533424640887,-0.148623536072758,-0.242581144237939,-0.351288563307386,-0.134903483862653,-0.112446484228534,0.008,0,0,0.088,0,0
"DOSAGE_METFORMIN_C","GLYCATHB","methionine sulfone",-0.0825218868349449,-0.159620376912179,-0.0258025489082627,0.714546883718313,0.450701940270112,0.999757194320064,0.632024996883368,0.360942013622329,0.903419040445457,-0.130567441544046,0,0,0,0,0,0
"DOSAGE_METFORMIN_C","AG","methionine sulfone",0.0485025184964404,0.0208669488202707,0.0901015790487424,-0.288116274496862,-0.406212840205357,-0.172512856006541,-0.239613756000422,-0.348306227132313,-0.131908733812341,-0.202419591036981,0,0,0,0,0,0
