"","Status","AGE","GENDER","CENTER_C","GLYCATHB","Status","AGE","GENDER","CENTER_C","GLYCATHB","Status","AGE","GENDER","CENTER_C","GLYCATHB","Status","AGE","GENDER","CENTER_C","GLYCATHB"
"X9.10.DiHOME","1.35334100577983e-05","0.0114102862366788","0.0747394327272545","0.0527058358632222","0.0202231561215434","2.9958951791896e-05","0.0202932613671995","0.121900733426544","0.0635184895793894","0.0316161553651318","-0.174370733232581","-0.0843899626956571","Inf","Inf","-0.0774836052595998","OK_sd","OK_sd","NS","C: AGE","C: AGE, CENTER_C"
"linoleate..18.2n6.","0.00477932973124624","0.0932012544514416","7.78190166782619e-05","0.134643128565104","0.000540327820106406","0.00767278239880696","0.134261255085569","0.000271354088819872","0.153280809952052","0.00107510975349618","0.117538404525741","0.056054558093615","Inf","Inf","0.115234839267865","C: GLYCATHB","NS","OK_sd","NS","OK_sd"
"laurate..12.0.","0.0508485783813576","0.195996259513163","3.0136857411133e-07","1.25698253573399e-17","0.0135926942165331","0.0682507624762634","0.260496497707504","1.7111178036363e-06","1.02139239580301e-16","0.02188052912436","-0.0813486893532753","0.0431894195147254","Inf","Inf","-0.0823280865638059","C: GENDER, CENTER_C","NS","OK_sd","OK_sd","C: CENTER_C"
"quinolinate","7.32312599578855e-13","4.95364301886858e-17","0.667666946702887","0.000335003635332861","0.000104781632302036","3.19533182517205e-12","8.29888095877119e-16","0.734356216754177","0.000579108195091327","0.000230825771158868","0.298811240236015","0.274877839834669","Inf","Inf","0.129089854514465","OK_sd","OK_sd","NS","OK_sd","C: AGE"
"N..1..acetylspermidine","0.79233689373874","0.00280416951441065","0.0010947038029703","0.000189531513763266","0.965779833682458","0.82076424794158","0.00556324273546089","0.00290707056874891","0.000338762102669758","0.971279640329456","0.0109727216402916","0.0996157286733643","Inf","Inf","0.00143364693436151","NS","OK_sd","OK_sd","OK_sd","NS"
"N6.N6.N6.trimethyllysine","4.50197217228235e-27","0.000750278611182627","0.00235568707961533","2.30067075591306e-12","1.22585795754547e-16","5.00752150638291e-26","0.00163423447090662","0.00574940173927698","1.10286560288961e-11","9.56028303671955e-16","-0.448856694518271","-0.112276114175296","Inf","Inf","-0.271497826705649","OK_sd","C: Status","OK_sd","OK_sd","C: Status"
"N.acetylputrescine","0.000117226609949174","4.93119013152318e-06","0.296604162152302","6.19259894209673e-06","0.0175849708397787","0.000232469610471255","1.5312643039993e-05","0.389257106422314","1.373097510527e-05","0.0278445804312482","0.160456511543072","0.151753688108213","Inf","Inf","0.0792153212876942","OK_sd","OK_sd","NS","OK_sd","C: Status, AGE, CENTER_C"
"N.formylmethionine","0.000560322052633106","1.94624373107724e-12","0.0662496909324534","1.33284987896939e-05","0.0462950785884856","0.00101380936723083","1.7039049955302e-11","0.109635159262609","2.78686792875417e-05","0.0660593287534963","0.143722387247323","0.231982321752552","Inf","Inf","0.0665160198270635","OK_sd","OK_sd","NS","OK_sd","C: AGE, CENTER_C"
"S.adenosylhomocysteine..SAH.","3.46051287793909e-09","2.58602938280856e-08","7.1771241368708e-13","3.79876101344232e-13","1.16346083835104e-07","1.07458031472845e-08","1.24441201151462e-07","7.72964877280451e-12","2.03751727084633e-12","3.64622715390844e-07","0.245754222615966","0.184446427445307","Inf","Inf","0.175702096132364","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"adenosine.5..monophosphate..AMP.","0.000162775655563117","4.22260240742264e-05","8.39159338155245e-05","7.80465422590251e-06","0.00141559532738738","0.000312436344897127","0.000116464867212856","0.000289020107075296","1.6891412734529e-05","0.00263506565056882","-0.157063363848501","-0.136202672946128","Inf","Inf","-0.106346122875401","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"X5.methylthioadenosine..MTA.","2.00921605675412e-33","5.95158393527517e-12","0.00461241339086386","8.60627646863833e-20","4.3347991491817e-12","3.40813273626917e-32","4.95478490807877e-11","0.0106446343051059","8.91505127323833e-19","2.25376338905731e-11","0.501832647176334","0.226929405039767","Inf","Inf","0.228374529440137","OK_sd","OK_sd","C: Status, AGE","OK_sd","OK_sd"
"N6.methyladenosine","0.77854446525742","0.00178888637574767","0.766631641896622","0.00035790726405837","0.327724509973389","0.809566926708291","0.00362857819415484","0.817860957589399","0.000617913686166932","0.387388641144502","0.0117138870070236","0.104084720922618","Inf","Inf","0.032696703221128","NS","OK_sd","NS","OK_sd","NS"
"arachidonate..20.4n6.","0.906605674530779","0.808606386010964","0.921986710444298","0.0424155333439905","0.806542074708689","0.918793054770924","0.852586531326246","0.942120456380205","0.0519944704135457","0.837396782998999","-0.00489284949131741","-0.00809427065403517","Inf","Inf","-0.00818332641143421","NS","NS","NS","OK_nc","NS"
"arginine","1.35507927334525e-16","0.00012385862036743","5.66060891155676e-05","1.75852130256663e-05","1.76955219545757e-07","8.06509900846271e-16","0.000316527585383432","0.000201084981491689","3.63767287741297e-05","5.39614006569869e-07","-0.34443923312546","-0.127740590072528","Inf","Inf","-0.173184819111959","OK_sd","C: Status","OK_sd","OK_sd","OK_sd"
"ascorbate..Vitamin.C.","0.377211164202112","0.267984459435667","0.286109393141421","7.32332451310189e-16","0.0163938222716621","0.430147520859047","0.345023635155788","0.378780923407715","5.09628275091245e-15","0.0260507560342051","-0.0346205291225876","0.0370038454213386","Inf","Inf","-0.0800728694405752","NS","NS","NS","OK_sd","C: CENTER_C"
"aspartate","7.27448947918613e-08","0.490985340459634","0.202157601341265","0.368860739031028","6.34825406533166e-09","2.01870802111566e-07","0.565112050045566","0.283396554772828","0.39258354734518","2.34729721162263e-08","0.224289378752873","0.023012644182142","Inf","Inf","0.192249891832971","OK_sd","NS","NS","NS","OK_sd"
"X2.hydroxyphenylacetate","0.00309917853084391","0.000901256584514935","2.2372373885983e-11","0.142963145738399","0.0195691127240381","0.00507920925888308","0.00192296412765215","2.10828551133881e-10","0.161398493150589","0.030693869412996","0.123056612295239","0.110592709739565","Inf","Inf","0.0778936637059627","OK_sd","OK_sd","OK_sd","NS","C: Status, AGE, GENDER"
"X3..4.hydroxyphenyl.lactate","2.02975692443215e-08","0.00329108797887509","4.23285795087115e-21","0.0148707320076745","5.07828666785795e-08","5.93616410873798e-08","0.0064444536613759","9.41637416283958e-20","0.019764528241346","1.65257434251397e-07","0.233669752925577","0.0979812505153336","Inf","Inf","0.180575239196764","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"phenylpyruvate","3.46508518542543e-06","0.735030268404914","4.39630158899715e-10","6.36255547560213e-05","1.8265335564409e-05","8.36676262744182e-06","0.790988163541212","3.59384413028261e-09","0.000120586421513856","4.4260822073041e-05","0.193334143982953","-0.011309340921724","Inf","Inf","0.142464249164405","OK_sd","NS","OK_sd","OK_sd","C: Status"
"beta.alanine","1.81831341676234e-09","0.0962708038195029","3.34200414231967e-05","0.274572970255207","2.15461856949025e-06","5.91714941617865e-09","0.138323819599242","0.000123572196760975","0.297600256099293","5.75554606062653e-06","0.250490732537739","0.0555364869283933","Inf","Inf","0.157354038690538","OK_sd","NS","OK_sd","NS","C: Status"
"biliverdin","3.4581468453731e-05","0.134293176910365","0.000204904912389502","1.97629721092661e-05","5.20624558366369e-05","7.32091305642948e-05","0.185605457555252","0.00064814910515747","4.05111074807766e-05","0.000118839408081556","-0.172500448752468","0.0500067646677025","Inf","Inf","-0.13459508092896","OK_sd","NS","OK_sd","OK_sd","C: Status"
"succinate","0.0479225576199927","0.000879266277979244","0.963205936089267","0.302073566422565","0.457034070855273","0.0645147923515179","0.00188493576495708","0.971799594998614","0.325070443802871","0.518124673475861","-0.0824025338590975","0.11082084958177","Inf","Inf","-0.0248496894899895","OK_sd","OK_sd","NS","NS","NS"
"X3.hydroxybutyrate..BHBA.","0.927785105842407","2.50710930912082e-06","0.0159124182208846","9.11860492011197e-06","0.576373963573038","0.937456730177324","8.1586266965874e-06","0.0313398425627583","1.95790298680252e-05","0.63228736343461","-0.00378110144121924","0.156343773249175","Inf","Inf","0.0186680722368847","NS","OK_sd","C: AGE","OK_sd","NS"
"cholesterol","5.70197247770106e-08","0.365265744065622","3.04349079291649e-09","2.70355379496545e-05","1.61969678375464e-06","1.60864379464456e-07","0.447755749500496","2.2324416248582e-08","5.43326138634622e-05","4.38708290529951e-06","-0.226107550043138","0.0302480372693207","Inf","Inf","-0.159239831121733","OK_sd","NS","OK_sd","OK_sd","C: Status"
"choline.phosphate","4.54587861901956e-08","1.11918717831176e-06","0.000219235604390885","0.120291330317475","2.16444045865329e-10","1.293240521176e-07","3.99667631833964e-06","0.000687073245169586","0.13810096044062","9.29476488098896e-10","-0.227786752827141","-0.161650415466763","Inf","Inf","-0.209805150882224","OK_sd","OK_sd","OK_sd","NS","OK_sd"
"corticosterone","1.1327454477783e-21","0.0400362081438932","0.23749356892","8.45639578711077e-08","2.1476557076446e-15","9.48849118910587e-21","0.0635428473114188","0.326193090105708","2.27685100855344e-07","1.59255125424794e-14","-0.393865698519406","0.0685368940800549","Inf","Inf","-0.260490813873496","OK_sd","C: CENTER_C","NS","OK_sd","C: Status"
"cortisone","0.307320884983233","0.0287426609513861","0.000721664836655442","6.69641509790906e-07","0.81285006627427","0.358585073879834","0.0468912447080835","0.00203174104427684","1.62558770802551e-06","0.841371121231262","-0.0425301532706818","-0.0729853815360439","Inf","Inf","0.00791137485144342","NS","OK_sd","OK_sd","OK_sd","NS"
"creatinine","0.115978579304258","0.0130854352241668","8.07983572047344e-42","0.525684960429609","0.11351260746344","0.146266665535203","0.0230310448757385","7.83166933763033e-40","0.546213239895083","0.151760205249151","-0.0654831182216664","0.0827797248920042","Inf","Inf","-0.0528487564897938","NS","C: GENDER","OK_sd","NS","NS"
"cysteinylglycine","0.0436978525362061","0.00726165830786174","0.00547973873370853","0.0235797257692266","0.0308674760298162","0.0593573432348665","0.0133523988126943","0.0122909181184173","0.0303583376364711","0.046644949857974","0.0840238330988239","-0.0895310142809361","Inf","Inf","0.0720460377375211","C: GENDER","OK_sd","OK_sd","C: AGE","C: GENDER"
"cystine","2.06685853835646e-06","5.90107521079636e-10","0.0326215819006153","3.38843936637934e-08","0.00793244894526561","5.12747173043825e-06","3.62342038961568e-09","0.0591021183433044","9.68023625300371e-08","0.0134554165234068","0.197734813347925","0.204756556198571","Inf","Inf","0.0885454777436252","OK_sd","OK_sd","C: Status, AGE","OK_sd","C: AGE, GENDER"
"sphingosine","6.76319544791065e-05","0.00634708817293988","0.183073021899062","7.76621712989211e-25","0.00378550532818139","0.000138009868012252","0.0117824878942263","0.261472360843742","1.10934280476459e-23","0.0066027387279462","0.165980509666997","0.0910152640664657","Inf","Inf","0.0965329325145674","OK_sd","OK_sd","NS","OK_sd","C: Status"
"deoxycholate","1.42440149026761e-23","0.0529505547269396","0.00080504943347012","8.24212616776499e-07","1.32849049698962e-21","1.3060221772251e-22","0.0820804052745833","0.00222495332223819","1.98660128057853e-06","1.46565984098773e-20","0.416262789445342","0.0646051060743692","Inf","Inf","0.311098680909986","OK_sd","C: Status, GENDER, GLYCATHB","OK_sd","C: Status","OK_sd"
"cystathionine","7.99810012572678e-14","2.23945306998732e-11","1.77349068266429e-05","0.0131538418791749","3.42000512730689e-08","3.87622209664687e-13","1.71691402032361e-10","7.22710767680314e-05","0.017708098640913","1.14028180780232e-07","0.311144695166791","0.220778562068551","Inf","Inf","0.18285305993118","OK_sd","OK_sd","OK_sd","C: AGE","C: Status"
"sphinganine","0.000176762380151596","0.000724996471519649","0.264849829293874","7.05917749127568e-31","0.00306890795745276","0.000338316713491841","0.00158240484376525","0.356500281687975","1.57037768125592e-29","0.00544380143563842","0.156217972102072","0.1125883339442","Inf","Inf","0.098697663713097","OK_sd","OK_sd","NS","OK_sd","C: Status"
"fumarate","0.17149949958584","2.93733024459799e-09","0.0012738062207429","4.980915986886e-09","0.116708735931789","0.210420272095827","1.60078600077087e-08","0.0033177639952939","1.58664389535312e-08","0.155245100085715","0.0569655068586748","0.196397203508427","Inf","Inf","0.0523865223430269","NS","OK_sd","OK_sd","OK_sd","NS"
"gamma.glutamylglutamate","4.35528065826552e-18","0.000130350475521006","2.18016323671596e-07","0.0251050581760149","1.53454176154383e-12","2.88298334305674e-17","0.000331246433112369","1.27520754837222e-06","0.032108919834922","8.39666600973782e-12","0.361121244231359","0.127325845231504","Inf","Inf","0.233041567954605","OK_sd","OK_sd","OK_sd","C: GLYCATHB","C: Status"
"gluconate","6.32111616194413e-27","1.13398859152097e-12","0.037904172253015","0.000197109050486011","2.32324482213449e-44","6.97378425346193e-26","1.01908776072447e-11","0.0674127939021512","0.0003505596087936","1.0871183529781e-42","0.447553864772063","0.234382253253493","Inf","Inf","0.442561751741273","OK_sd","OK_sd","OK_sd","C: Status","OK_sd"
"glutarate..C5.DC.","3.40755944541115e-08","0.0580255440829706","6.73020682244915e-07","0.000877425589726007","2.00107422560643e-08","9.7553969776855e-08","0.0885721747138257","3.63860185580219e-06","0.00142937157894141","6.99860238182454e-08","0.22990602254764","0.0632785567812149","Inf","Inf","0.185896064781681","OK_sd","C: Status, GENDER, GLYCATHB","OK_sd","C: Status","OK_sd"
"glycine","1.71330678688345e-27","0.602845002330571","2.28924138624282e-05","1.29144950980748e-08","1.34108405618246e-20","1.9537456384881e-26","0.673300961450687","9.00434945255507e-05","3.90594054385634e-08","1.34803782536267e-19","-0.452545150288649","0.0173859946621154","Inf","Inf","-0.303574626475574","OK_sd","NS","OK_sd","OK_sd","C: Status"
"glycocholate","6.56798061931725e-05","0.65023940197273","0.000190188565304342","0.110753496435233","2.25451354791327e-08","0.000134430613882557","0.716795181541019","0.000610132111390052","0.127582762871486","7.78466891734939e-08","0.166270027388376","0.0151513782884108","Inf","Inf","0.185223382700807","C: GLYCATHB","NS","OK_sd","NS","OK_sd"
"guanidinoacetate","2.6133054949867e-21","0.918227101462089","4.24358860150295e-22","0.000110834330118898","1.52552171444344e-14","2.12350632137542e-20","0.942499994553976","1.01027188284904e-20","0.000204073522349179","1.0455217002524e-13","-0.394780574518966","0.00343081767226739","Inf","Inf","-0.252644342532592","OK_sd","NS","OK_sd","C: Status, GLYCATHB","C: Status"
"histidine","1.02134424395713e-05","0.0423043403080809","0.470064898161168","0.402872706401846","0.000391085221005394","2.29844799179076e-05","0.0667523137186811","0.565619507344864","0.426109323918398","0.000796850818174655","-0.183814801303988","-0.06777560069952","Inf","Inf","-0.118082726758222","OK_sd","C: Status, GLYCATHB","NS","NS","C: Status"
"cortisol","0.0148417334198802","1.2713320569334e-10","0.10910909190742","0.0137090195745055","0.344531997149303","0.0218440696863095","8.54058218444865e-10","0.167635579921935","0.0183825489749051","0.404437647172668","-0.101487542052449","0.212432638690432","Inf","Inf","-0.0315794717124832","AD","OK_sd","NS","C: AGE","NS"
"hypotaurine","2.51384551335724e-05","0.82461182462886","0.000176920797552723","1.24755100548843e-05","0.000131923579452858","5.40616222127698e-05","0.864415701813825","0.000577119043940012","2.62062958892847e-05","0.000287352002114812","-0.175523013763673","-0.00740567839768784","Inf","Inf","-0.127228273038761","OK_sd","NS","OK_sd","OK_sd","C: Status"
"inosine","4.61065176222199e-05","0.218628998275645","0.31882694174018","6.23429731770015e-34","0.0141385731089857","9.59609576891907e-05","0.286924130232157","0.413226513793146","1.59621536983379e-32","0.0226785386629948","0.16972686898165","-0.0410915976563579","Inf","Inf","0.0818583750308399","C: CENTER_C","NS","NS","OK_sd","C: Status, CENTER_C"
"myo.inositol","0.00437712500829306","6.59156125362452e-11","0.0259016458395703","0.244530319312078","0.00817916919161947","0.00708801746569652","4.6345847778075e-10","0.0484139578571582","0.267602938150396","0.0137954990255646","-0.118708056120115","0.2156298629553","Inf","Inf","-0.0882016802634663","AD","OK_sd","C: AGE","NS","AD"
"isoleucine","3.83346947739165e-50","0.912957941494486","8.54843789200931e-34","1.15961414376025e-21","1.40481982926725e-56","2.00077618493095e-48","0.939133886022844","5.27283191793483e-32","1.3803477132304e-20","1.00333710963982e-54","0.620251185575069","-0.003652741787935","Inf","Inf","0.494592513213923","OK_sd","NS","OK_sd","OK_sd","OK_sd"
"X2.aminoadipate","2.98731653369543e-48","1.75459024444472e-06","4.22317299212374e-17","2.8618366970532e-05","1.92901519035501e-40","1.44778162008025e-46","5.90813638141809e-06","7.07511821026162e-16","5.70266137724111e-05","7.07479354949121e-39","0.607998795606279","0.158713414288689","Inf","Inf","0.423765107923852","OK_sd","OK_sd","OK_sd","C: Status","C: Status"
"X3.sulfo.L.alanine","0.00925629481729465","0.00493232996543316","0.911543813036476","3.14742656749987e-11","0.00818377060838576","0.0140187411462822","0.0093480052557162","0.936385279553746","1.32230893253787e-10","0.0137954990255646","-0.108395434884569","0.0937422241233026","Inf","Inf","-0.0881953568259798","AD","C: CENTER_C","NS","OK_sd","C: CENTER_C"
"citrulline","2.91728027704711e-26","0.224520317655572","0.658690044937869","0.00915752208029996","2.79045285559061e-17","3.11712546138026e-25","0.293520299671109","0.726701130878609","0.012615997424332","2.24061806215175e-16","-0.441636122547061","0.0405714066948609","Inf","Inf","-0.276994528741557","OK_sd","NS","NS","C: Status","C: Status"
"lactose","5.01466262496604e-52","6.32192319344402e-08","0.000292018911853313","9.14406009937624e-11","3.33757031246e-63","2.95865094872996e-50","2.85961659116785e-07","0.000890493625584146","3.60711905664348e-10","2.83067682125514e-61","0.618815177677026","0.179300553052002","Inf","Inf","0.519449241762639","OK_sd","OK_sd","OK_sd","C: Status","OK_sd"
"leucine","1.83952002271837e-49","0.188875529150557","1.74779261590328e-31","3.09145477446891e-17","2.18387300940352e-56","9.24529137344008e-48","0.252686766780164","9.12213299915673e-30","2.39720235940246e-16","1.48175783688029e-54","0.61586788727338","0.0438858423854465","Inf","Inf","0.493842110529768","OK_sd","NS","OK_sd","OK_sd","OK_sd"
"leukotriene.B4","0.000146722007400588","0.171323220467067","0.871724705345525","1.33855797758463e-22","1.45891390365042e-08","0.000284025341002279","0.231559372683078","0.903690164365071","1.6975917528807e-21","5.20985833487793e-08","0.147289245574722","-0.0456893624403957","Inf","Inf","0.187666712193905","C: GLYCATHB","NS","NS","OK_sd","OK_sd"
"lysine","0.0744232997363082","0.00535795643544164","0.590324821783458","0.739511308416091","0.32428740810297","0.0981461785638195","0.010056358067627","0.671475928885291","0.752261503388782","0.383994775563464","0.0743191990781755","0.0928546867818079","Inf","Inf","0.0329297015171271","C: AGE","OK_sd","NS","NS","NS"
"malate","4.00847181357258e-09","2.63440308141515e-08","6.9759150709995e-07","9.49591869351249e-07","2.82269855856207e-09","1.23344586190884e-08","1.26321024080578e-07","3.74162717444519e-06","2.27667167263188e-06","1.08203444744879e-08","0.245099912565648","0.184341213691786","Inf","Inf","0.19660898300435","OK_sd","OK_sd","OK_sd","OK_sd","C: Status"
"methionine","0.723719547293588","0.361246707298823","5.17427222013917e-13","0.019386767113736","0.158663483168627","0.759541705860324","0.444838277499548","5.70852634368199e-12","0.0253447427488822","0.203119194962101","0.0147306616638004","-0.0305023370864919","Inf","Inf","0.0470778135850935","NS","NS","OK_sd","OK_sd","NS"
"palmitate..16.0.","2.70540619473142e-14","2.9632248699698e-06","0.0894926339155941","0.00111448360943424","1.67305362129806e-10","1.35469970710352e-13","9.50613746701895e-06","0.142524676691896","0.00178133599293552","7.32365730355314e-10","0.317074018100648","0.155221853981569","Inf","Inf","0.211081021378288","OK_sd","OK_sd","NS","OK_sd","C: Status"
"nicotinamide","0.124670970201082","0.0149663531468281","0.0412667020116796","0.0227701130745446","0.0539955421887609","0.156212840778271","0.0260710413610342","0.0731056326760434","0.0294838200783941","0.0760082476661291","0.0639660453616366","-0.0811757119732434","Inf","Inf","0.0643235593722001","NS","C: CENTER_C","AD","AD","AD"
"stearate..18.0.","2.53569361104607e-08","2.23831427197978e-07","0.393354329521173","1.02759523229462e-05","1.22007137129361e-06","7.35242784228529e-08","9.01303402693341e-07","0.489259067856744","2.18908434885998e-05","3.36511555049884e-06","0.232060034394705","0.171757994902086","Inf","Inf","0.161090732138908","OK_sd","OK_sd","NS","OK_sd","C: Status"
"ornithine","0.822480627548654","0.0388287214745827","1.12195754368694e-05","0.0103554261548371","0.309344142866522","0.845757387209716","0.0619171488128417","4.75055455987127e-05","0.0141656383993084","0.368228071815675","-0.00935142240056513","0.0689571966954496","Inf","Inf","-0.0339618723967139","NS","OK_sd","OK_sd","OK_sd","NS"
"orotate","1.68449186881481e-05","0.00018404788594615","0.00539348218538568","7.75719794719595e-06","1.65077596493367e-08","3.71080432789237e-05","0.000454923463076367","0.0121375710208431","1.68155233455989e-05","5.84883285748041e-08","-0.179252002015043","0.12449174932389","Inf","Inf","-0.186976416492899","C: GLYCATHB","C: CENTER_C","OK_sd","OK_sd","OK_sd"
"palmitoleate..16.1n7.","0.384887537739096","0.00131864630112415","1.91863305368823e-15","1.92471931711749e-11","0.207748536120571","0.436699321665512","0.00274869897177492","2.71206776443222e-14","8.37129523502703e-11","0.25959002165342","0.0362012958813209","0.107023267903548","Inf","Inf","-0.0420794120592654","NS","OK_sd","OK_sd","OK_sd","NS"
"phenylalanine","0.000396253700983809","0.40768404178414","0.0139882695140198","0.198491008617458","9.66283315234913e-05","0.000734585071359329","0.489148757472218","0.0282471454323287","0.220059067560368","0.000214958435864554","0.147572972941674","0.0276631636240122","Inf","Inf","0.129738620935145","AD","NS","OK_sd","NS","AD"
"phosphate","0.19599956177496","0.363440715269578","1.88241494131062e-06","0.0584035935936559","0.486868412706718","0.236840075982743","0.446550962883107","9.28886209221276e-06","0.0697655603050977","0.547374014948646","0.0538676672399117","-0.0303632960288477","Inf","Inf","0.0232316303423614","NS","NS","OK_sd","C: GENDER","NS"
"phytanate","2.45253238533228e-07","0.00377731925854691","0.376161359373512","3.8673186305767e-16","6.08056416990383e-08","6.53848024930433e-07","0.00732260319121166","0.472639782101718","2.79146350090031e-15","1.95993481675998e-07","-0.215001650251012","0.0965554763714497","Inf","Inf","-0.179527735939711","OK_sd","OK_sd","NS","OK_sd","OK_sd"
"pristanate","1.18962934247854e-05","5.90211462586272e-05","0.426051719412443","4.26107107393211e-16","0.000147547282026334","2.66390596987357e-05","0.000156529910225105","0.521108288338676","3.05940394038406e-15","0.000320354658735577","-0.182401954823655","0.133623296381872","Inf","Inf","-0.126314535499919","OK_sd","OK_sd","NS","OK_sd","C: Status, CENTER_C"
"proline","7.46794194109334e-36","0.0139043164029233","2.13240796676699e-13","9.31175655130183e-13","7.61298802990789e-27","1.55907649447133e-34","0.0243774642878125","2.47322872726736e-12","4.69741771008052e-12","1.27541046377593e-25","0.520697621901437","0.0820579523536543","Inf","Inf","0.347246136996612","OK_sd","C: Status, GENDER, GLYCATHB","OK_sd","OK_sd","C: Status"
"lactate","7.13420003198189e-34","0.0157442516475812","0.0033760794986747","8.80246492895672e-47","9.96206417520883e-21","1.25728694070122e-32","0.0273209072708026","0.00800933545402373","3.85320803503041e-45","1.00884485714615e-19","0.505376344086022","0.0805638098341598","Inf","Inf","0.304554419106203","OK_sd","C: Status, GLYCATHB","C: Status","OK_sd","C: Status"
